s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,109,20.5557,0.15518,20.2243,0.0017391,0.174526,0.0998799
0,298,1,73,41.3485,0.113547,41.1285,0.00124041,0.105169,0.0803008
0,297,1,103,52.0934,0.14425,51.7951,0.00180305,0.152191,0.069256
0,296,1,89,41.7985,0.118374,41.5486,0.00151398,0.13005,0.0756596
0,295,0,44,15.9943,0.0594217,15.861,0.000703011,0.0730972,1.7734
0,294,1,104,25.7169,0.146842,25.4213,0.00169883,0.147093,0.0931231
0,293,1,83,30.9195,0.117199,30.6823,0.00125929,0.11874,0.0906349
0,292,1,102,51.6252,0.158169,51.3111,0.00154863,0.154401,0.0365178
0,291,1,97,66.3856,0.138602,66.1054,0.00150745,0.140134,0.0448584
0,290,1,103,46.4973,0.161669,46.1915,0.00157464,0.142543,0.0882315
0,289,1,100,51.8549,0.154019,51.5749,0.00147145,0.124503,0.0951587
0,288,1,93,49.4066,0.133396,49.1489,0.00152899,0.122832,0.0614069
0,287,1,91,29.6342,0.123248,29.362,0.00139754,0.147553,0.0946072
0,286,1,83,25.2908,0.133778,25.034,0.00122542,0.121795,0.0401819
0,285,1,98,40.3974,0.14266,40.0999,0.00147123,0.153373,0.0729016
0,284,1,89,31.4438,0.137105,31.1839,0.00135265,0.121416,0.0747805
0,283,1,104,21.6457,0.167148,21.3339,0.00148747,0.143228,0.076828
0,282,0,200,84.7991,0.295238,84.2391,0.00305739,0.261694,0.684878
0,281,0,112,59.2678,0.160576,58.9095,0.00169133,0.195959,2.12084
0,280,1,87,42.7614,0.125726,42.5103,0.00130424,0.124009,0.0568485
0,279,1,76,37.8638,0.113853,37.6386,0.00114905,0.110224,0.0653993
0,278,1,91,22.1753,0.14582,21.8999,0.00124743,0.12836,0.027918
0,277,1,75,39.7469,0.125464,39.5166,0.00102643,0.103897,0.0620964
0,276,1,85,40.869,0.149619,40.5867,0.00117656,0.131494,0.0397033
0,275,1,80,24.9772,0.122186,24.7456,0.00116377,0.108201,0.0803836
0,274,1,89,43.611,0.146906,43.3382,0.0013139,0.124623,0.0391408
0,273,1,90,21.2111,0.14941,20.9269,0.00130975,0.133494,0.0941888
0,272,0,200,106.304,0.35808,105.635,0.00309854,0.308119,0.579885
0,271,1,101,54.1002,0.164995,53.7788,0.00148359,0.154993,0.0681416
0,270,1,72,24.4447,0.108244,24.2328,0.00116729,0.1025,0.0504347
0,269,1,72,38.4587,0.114813,38.2241,0.00109383,0.118679,0.0873139
0,268,1,105,48.046,0.159991,47.7108,0.00159643,0.173616,0.0648719
0,267,0,200,101.423,0.358903,100.748,0.00312025,0.313601,0.414503
0,266,1,99,55.0549,0.16239,54.7543,0.00141818,0.136801,0.0717696
0,265,1,97,43.3313,0.238516,42.9224,0.00163049,0.168726,0.0860415
0,264,1,82,35.597,0.128245,35.3591,0.00119442,0.108468,0.0797869
0,263,1,89,23.4901,0.150298,23.2131,0.00128663,0.125402,0.093101
0,262,1,70,41.7947,0.108521,41.5834,0.0010506,0.101677,0.0833467
0,261,1,78,45.7701,0.120083,45.5363,0.00110776,0.112684,0.0797539
0,260,1,80,25.0746,0.121766,24.8324,0.00122696,0.11917,0.0861096
0,259,0,200,78.5924,0.321919,78.0062,0.00305301,0.26116,0.481144
0,258,1,87,44.6246,0.143854,44.3407,0.00139777,0.138652,0.0809569
