map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
299,0,1,121,2.18881,0.17944,1.77212,0.00317276,0.234077,0.423143
298,0,1,114,1.58203,0.162427,1.19985,0.00310972,0.216648,0.157112
297,0,1,126,1.81737,0.181267,1.39175,0.00312975,0.241221,0.102154
296,0,1,145,1.87665,0.205844,1.40788,0.00380519,0.259115,0.64199
295,0,1,107,1.56329,0.153131,1.20789,0.00269173,0.199572,0.271652
294,0,1,143,2.37016,0.217357,1.86965,0.00356618,0.279584,0.106604
293,0,1,124,1.7803,0.177408,1.35816,0.00320076,0.241532,0.432681
292,0,1,109,1.5069,0.157616,1.13414,0.00298317,0.212156,0.328273
291,0,1,121,1.77335,0.173079,1.39613,0.00308305,0.201051,0.438524
290,0,1,108,1.40329,0.157097,1.05169,0.00282676,0.191675,0.665297
289,0,1,111,1.70187,0.159928,1.32356,0.00279236,0.21559,0.226022
288,0,1,116,1.73585,0.17018,1.33025,0.00240739,0.233015,0.358265
287,0,1,117,1.92092,0.18061,1.49228,0.00413834,0.243885,0.222584
286,0,1,99,1.33671,0.142232,1.01439,0.0026358,0.177455,0.436826
285,0,1,187,2.64036,0.268503,2.03609,0.00367751,0.332083,1.35641
284,0,1,107,1.7277,0.15393,1.35971,0.00278451,0.211276,0.141012
283,0,1,118,1.77672,0.169334,1.37582,0.0023398,0.229226,0.179663
282,0,1,125,1.89168,0.180512,1.46306,0.00331798,0.244792,0.03936
281,0,1,126,1.97934,0.181539,1.54932,0.00330094,0.245172,0.412586
280,0,1,141,1.84483,0.20205,1.37905,0.0035125,0.260219,0.713053
279,0,1,93,1.28847,0.135769,0.967006,0.00236829,0.183328,0.107792
278,0,1,137,2.02929,0.197927,1.55742,0.00345815,0.270492,0.207317
277,0,1,124,1.67294,0.178842,1.27533,0.00328697,0.215475,0.38674
276,0,1,157,2.47625,0.225289,1.95247,0.00427128,0.294221,0.0236162
275,0,1,114,1.63455,0.166661,1.23969,0.00243699,0.225768,0.143806
274,0,1,107,1.59716,0.155681,1.24343,0.00273262,0.195317,0.155785
273,0,1,134,2.00826,0.19223,1.55491,0.00344813,0.257672,0.0774407
272,0,1,98,1.53365,0.141666,1.20232,0.00242166,0.187236,0.223342
271,0,1,119,1.81412,0.170961,1.40175,0.00240347,0.239005,0.346357
270,0,1,109,1.70989,0.156146,1.34546,0.00296511,0.205316,0.0921293
269,0,1,124,1.74012,0.178235,1.3201,0.00327222,0.238518,0.0896353
268,0,1,128,1.86586,0.183842,1.42874,0.00271799,0.25056,0.147458
267,0,1,129,1.88874,0.1844,1.45497,0.00331296,0.246061,0.0729429
266,0,1,107,1.62501,0.154532,1.25975,0.00269881,0.208029,0.0239716
