map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
299,0,1,173,4.58227,0.275381,4.30688,0,0,0.726829
298,0,1,174,3.90684,0.249225,3.65761,0,0,1.82881
297,0,1,152,3.80059,0.225534,3.57506,0,0,0.960544
296,0,1,188,4.82961,0.28628,4.54333,0,0,1.4308
295,0,1,155,4.23329,0.233338,3.99995,0,0,1.283
294,0,1,184,5.24685,0.28347,4.96338,0,0,1.32202
293,0,1,128,3.4963,0.192715,3.30358,0,0,0.297251
292,0,1,125,3.4275,0.191867,3.23563,0,0,0.532013
291,0,1,149,3.72972,0.224076,3.50564,0,0,1.38607
290,0,1,186,4.00029,0.299948,3.70034,0,0,1.9849
289,0,1,161,3.39752,0.262473,3.13504,0,0,0.364187
288,0,1,132,2.74695,0.20998,2.53697,0,0,0.609828
287,0,1,143,3.0017,0.21973,2.78197,0,0,0.175994
286,0,1,198,4.12371,0.321407,3.80231,0,0,1.70836
285,0,1,52,1.1111,0.0829933,1.02811,0,0,4.60669
284,0,1,116,2.36551,0.182062,2.18345,0,0,0.899032
283,0,1,142,2.94813,0.225311,2.72282,0,0,0.244011
282,0,1,137,3.30253,0.209601,3.09293,0,0,0.377663
281,0,1,165,4.00219,0.242418,3.75977,0,0,0.944109
280,0,1,183,3.8667,0.268081,3.59862,0,0,1.8461
279,0,1,151,3.30889,0.223941,3.08495,0,0,0.298168
278,0,1,155,3.71103,0.229685,3.48134,0,0,0.422687
277,0,1,130,3.12138,0.189003,2.93238,0,0,0.0910981
276,0,1,159,3.44184,0.241831,3.20001,0,0,1.19314
275,0,1,174,3.78263,0.272801,3.50983,0,0,1.98883
274,0,1,146,3.13473,0.234294,2.90043,0,0,0.76378
273,0,1,190,4.08352,0.30418,3.77934,0,0,1.36545
272,0,1,129,2.9167,0.206774,2.70992,0,0,0.251413
271,0,1,85,1.81067,0.136546,1.67413,0,0,3.94732
270,0,1,115,2.50511,0.181716,2.32339,0,0,0.517097
269,0,1,145,3.09737,0.237736,2.85964,0,0,0.605956
268,0,1,126,2.7347,0.205543,2.52915,0,0,0.510022
267,0,1,166,3.66712,0.255264,3.41185,0,0,1.58415
266,0,1,125,2.62331,0.189252,2.43406,0,0,0.652062
265,0,1,196,4.19516,0.290137,3.90503,0,0,1.07692
264,0,1,183,3.90561,0.285785,3.61983,0,0,1.00162
263,0,1,122,2.56428,0.189985,2.3743,0,0,0.174191
262,0,1,157,3.38867,0.254165,3.13451,0,0,1.19552
261,0,1,166,3.58452,0.245485,3.33903,0,0,1.49913
260,0,1,108,2.43946,0.155724,2.28373,0,0,0.590667
259,0,1,113,2.60959,0.164542,2.44504,0,0,0.823413
258,0,1,124,2.77731,0.180252,2.59706,0,0,0.207848
257,0,1,198,4.27292,0.304915,3.968,0,0,0.681882
256,0,1,184,4.04039,0.281498,3.75889,0,0,1.80945
255,0,1,168,3.74755,0.245009,3.50254,0,0,1.37872
254,0,1,124,2.70978,0.178248,2.53153,0,0,0.478028
253,1,0,200,4.51266,0.290286,4.22238,0,0,1.19283
252,0,1,135,3.0072,0.197778,2.80942,0,0,0.329565
251,0,1,154,3.35071,0.237559,3.11315,0,0,1.3629
250,0,1,174,3.77479,0.269011,3.50578,0,0,1.69156
249,1,0,200,4.39039,0.288068,4.10233,0,0,1.20086
248,0,1,186,3.99302,0.302142,3.69088,0,0,1.20121
247,0,1,162,3.39252,0.255296,3.13722,0,0,1.39497
246,0,1,171,3.94233,0.252639,3.68969,0,0,1.34089
245,0,1,146,3.0935,0.234845,2.85865,0,0,1.02428
244,0,1,169,3.56315,0.268019,3.29513,0,0,1.24728
243,0,1,152,3.31295,0.256412,3.05653,0,0,0.555729
242,0,1,128,2.72952,0.213507,2.51601,0,0,0.324932
241,0,1,161,3.46538,0.266649,3.19873,0,0,1.04799
240,0,1,153,3.21054,0.256701,2.95384,0,0,1.64777
239,0,1,169,3.66398,0.274889,3.3891,0,0,0.918702
238,0,1,188,4.0309,0.315265,3.71563,0,0,1.41172
237,1,0,200,4.2194,0.327653,3.89175,0,0,1.74374
236,0,1,164,3.82459,0.252385,3.57221,0,0,0.739826
235,1,0,200,4.31573,0.303421,4.01231,0,0,1.26427
234,0,1,156,3.32262,0.251011,3.07161,0,0,0.994405
233,0,1,135,2.86119,0.220779,2.64041,0,0,1.17308
232,0,1,178,3.80412,0.286321,3.5178,0,0,0.717378
231,0,1,122,2.60616,0.187719,2.41844,0,0,0.756412
230,0,1,174,3.6889,0.287843,3.40106,0,0,1.83634
229,0,1,160,3.41541,0.262762,3.15265,0,0,1.0021
228,0,1,148,3.68023,0.231618,3.44862,0,0,0.36677
227,0,1,145,3.2427,0.214304,3.0284,0,0,0.158284
226,0,1,176,3.85643,0.267047,3.58938,0,0,1.50145
225,0,1,181,3.87262,0.298036,3.57459,0,0,0.995055
224,0,1,182,3.89991,0.296534,3.60338,0,0,1.48449
223,0,1,159,3.51367,0.266516,3.24715,0,0,0.484373
222,0,1,168,3.66739,0.26404,3.40335,0,0,0.482816
221,0,1,138,3.20785,0.201779,3.00607,0,0,0.554951
220,0,1,123,2.66198,0.197389,2.46459,0,0,0.519671
219,0,1,163,3.57772,0.249081,3.32864,0,0,1.13943
218,0,1,161,3.59865,0.26592,3.33273,0,0,1.30705
217,0,1,142,3.04015,0.237419,2.80273,0,0,0.976073
216,0,1,160,3.58536,0.248062,3.3373,0,0,1.25959
215,1,0,200,4.93923,0.308355,4.63087,0,0,1.62838
214,0,1,133,3.17008,0.20017,2.96991,0,0,0.166744
213,0,1,124,2.82595,0.180967,2.64498,0,0,0.364875
212,0,1,151,3.42197,0.242521,3.17945,0,0,1.16766
211,0,1,194,4.5498,0.289239,4.26056,0,0,1.71223
210,0,1,152,3.76036,0.227711,3.53265,0,0,1.33083
209,0,1,151,3.55842,0.219955,3.33847,0,0,0.924866
208,1,0,54,1.18762,0.0783858,1.10924,0,0,3.71849
207,0,1,182,3.924,0.303163,3.62084,0,0,1.45002
206,0,1,163,3.60258,0.259838,3.34274,0,0,0.305325
205,0,1,133,2.86903,0.192351,2.67667,0,0,0.0526054
204,0,1,196,4.06013,0.324804,3.73532,0,0,1.40386
203,0,1,183,3.83163,0.303916,3.52772,0,0,0.983423
202,0,1,157,3.28127,0.255522,3.02575,0,0,0.842179
201,0,1,130,2.77589,0.212383,2.56351,0,0,0.521584
200,0,1,144,3.01018,0.237665,2.77251,0,0,0.164025
199,0,1,177,3.72318,0.283771,3.43941,0,0,1.52991
