map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
299,0,1,180,0.315179,0.315179,0,0,0,1.18029
298,0,1,184,0.31891,0.31891,0,0,0,1.42276
297,1,0,89,0.156822,0.156822,0,0,0,1.94827
296,0,1,154,0.268592,0.268592,0,0,0,1.27543
295,0,1,144,0.251219,0.251219,0,0,0,1.21795
294,0,1,133,0.236956,0.236956,0,0,0,1.04707
293,0,1,182,0.316154,0.316154,0,0,0,1.35704
292,0,1,164,0.291038,0.291038,0,0,0,1.56488
291,0,1,151,0.264895,0.264895,0,0,0,1.34973
290,0,1,168,0.295884,0.295884,0,0,0,1.5623
289,0,1,162,0.284788,0.284788,0,0,0,1.25392
288,0,1,173,0.302283,0.302283,0,0,0,1.21042
287,0,1,150,0.264099,0.264099,0,0,0,0.421167
286,0,1,146,0.256877,0.256877,0,0,0,1.35135
285,0,1,52,0.0938023,0.0938023,0,0,0,4.50419
284,0,1,160,0.279655,0.279655,0,0,0,1.39763
283,0,1,169,0.295562,0.295562,0,0,0,1.55614
282,0,1,138,0.244274,0.244274,0,0,0,0.859101
281,0,1,190,0.331168,0.331168,0,0,0,1.08797
280,0,1,151,0.266464,0.266464,0,0,0,0.362125
279,0,1,159,0.277906,0.277906,0,0,0,1.13285
278,0,1,170,0.297377,0.297377,0,0,0,1.44471
277,0,1,149,0.262701,0.262701,0,0,0,0.906989
276,0,1,170,0.295869,0.295869,0,0,0,1.53144
275,0,1,146,0.256258,0.256258,0,0,0,0.782317
274,0,1,163,0.285382,0.285382,0,0,0,1.1532
273,0,1,155,0.270341,0.270341,0,0,0,0.323642
272,0,1,173,0.306942,0.306942,0,0,0,1.65381
271,0,1,92,0.162469,0.162469,0,0,0,3.52364
270,0,1,159,0.279061,0.279061,0,0,0,1.62333
269,0,1,159,0.276554,0.276554,0,0,0,1.05771
268,0,1,142,0.251537,0.251537,0,0,0,1.52511
267,0,1,161,0.282254,0.282254,0,0,0,1.96264
266,0,1,184,0.32443,0.32443,0,0,0,1.12285
265,0,1,178,0.308705,0.308705,0,0,0,1.53274
264,0,1,145,0.260017,0.260017,0,0,0,1.12783
263,0,1,159,0.32648,0.32648,0,0,0,1.1576
262,0,1,171,0.351916,0.351916,0,0,0,1.05101
261,0,1,139,0.281706,0.281706,0,0,0,0.856377
260,0,1,175,0.357179,0.357179,0,0,0,1.32863
