map,is_failed,is_landed,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
299,0,1,140,2.25916,1.41003,0.589746,0.0025675,0.256819,0.238137
298,0,1,141,2.0094,1.40026,0.341916,0.00366485,0.26356,0.571996
297,1,0,200,2.77068,1.96567,0.460772,0.00375566,0.340484,1.20275
296,0,1,159,2.17118,1.57873,0.321166,0.00408096,0.267209,0.648024
295,1,0,200,2.7364,1.97274,0.437695,0.00481742,0.321152,1.737
294,1,0,99,1.41769,0.981911,0.250679,0.00202285,0.183082,2.43523
293,1,0,200,2.86406,1.97893,0.547807,0.00445417,0.33287,1.10694
292,1,0,200,2.73064,1.97207,0.44213,0.00398332,0.312457,13.6596
291,0,1,135,1.85642,1.34151,0.295445,0.00306372,0.216404,0.258533
290,1,0,200,2.70896,1.96327,0.411802,0.00559217,0.328299,1.67872
289,0,1,151,2.1071,1.49233,0.341428,0.00401581,0.269331,0.456445
288,0,1,130,1.80322,1.28656,0.28329,0.00308982,0.230274,0.339307
287,0,1,142,2.0721,1.40561,0.399586,0.00283573,0.264064,0.366783
286,1,0,200,2.83015,1.97826,0.51424,0.00551587,0.332131,2.08991
285,0,1,162,2.35939,1.60147,0.448301,0.00289858,0.30672,0.298968
284,0,1,148,2.10264,1.46433,0.38726,0.0040808,0.246973,0.465782
283,0,1,144,2.11766,1.42289,0.447604,0.00338902,0.243781,0.137722
282,0,1,134,1.91793,1.32832,0.349409,0.00259445,0.23761,0.205939
281,0,1,179,2.42151,1.77477,0.353825,0.00488646,0.28803,0.49615
280,0,1,70,0.933324,0.698032,0.0973502,0.00144518,0.136497,4.20159
279,0,1,152,2.16406,1.50793,0.375368,0.00310704,0.277655,0.308564
278,0,1,130,1.86569,1.29144,0.33117,0.00376896,0.239312,0.110335
277,0,1,138,1.95199,1.37484,0.335778,0.00399396,0.237385,0.179281
276,0,1,151,2.08906,1.49554,0.328392,0.00420821,0.260924,0.0763547
275,1,0,200,2.80765,1.9742,0.496847,0.00429836,0.332309,1.15813
274,0,1,137,1.91643,1.35969,0.323431,0.00278146,0.230534,0.684982
273,1,0,200,2.80254,1.96999,0.496175,0.00346685,0.332912,1.3128
272,0,1,124,1.73419,1.23565,0.27286,0.00356917,0.22211,0.472652
271,0,1,171,2.36509,1.69555,0.346051,0.00373577,0.319754,0.236309
270,0,1,129,1.80273,1.28618,0.297909,0.00214863,0.216491,0.175661
269,0,1,123,1.74298,1.22393,0.296099,0.00261346,0.220342,0.135526
268,0,1,148,2.07041,1.46726,0.339084,0.00462644,0.259433,0.188302
267,1,0,95,1.36025,0.949192,0.220283,0.00264594,0.188125,1.57407
266,1,0,200,2.76622,1.97337,0.452317,0.00410898,0.336422,1.38608
265,0,1,174,2.62042,1.73224,0.565102,0.00477214,0.318302,0.131697
264,0,1,137,1.96053,1.36039,0.341386,0.00360456,0.255149,0.210837
263,0,1,169,2.41602,1.68106,0.400867,0.00333627,0.330756,0.242152
262,0,1,160,2.20425,1.58734,0.328182,0.0032233,0.285509,0.559946
261,0,1,135,1.83898,1.341,0.272206,0.00251204,0.223256,0.656904
260,0,1,144,2.04215,1.43042,0.357444,0.00393671,0.25035,0.414365
259,0,1,163,2.33898,1.62198,0.445578,0.00465867,0.266766,0.458588
258,0,1,106,1.47477,1.05975,0.238086,0.00263915,0.174291,0.0989834
257,1,0,200,2.76535,1.96822,0.490167,0.00574819,0.301216,1.69725
256,0,1,141,2.01294,1.39783,0.371644,0.00373889,0.23973,0.68291
255,0,1,141,2.04829,1.39642,0.395843,0.00377575,0.252246,0.335904
254,0,1,127,1.8793,1.26365,0.392398,0.00277088,0.220483,0.392786
253,0,1,144,2.01251,1.42975,0.320387,0.00354733,0.258828,0.163461
252,0,1,143,1.94876,1.42138,0.29461,0.00253389,0.230238,0.71511
251,0,1,119,1.67411,1.18993,0.279923,0.00207484,0.202176,0.123775
250,1,0,200,2.82491,1.96991,0.529125,0.00379658,0.322081,1.41693
249,0,1,161,2.23064,1.59824,0.333355,0.00394045,0.295099,0.157612
248,0,1,166,2.39357,1.64958,0.431962,0.00511368,0.30691,0.394421
247,0,1,147,2.02791,1.45959,0.320906,0.00269562,0.244719,0.24706
246,0,1,141,1.95136,1.39947,0.306273,0.00473838,0.240879,0.243014
245,0,1,103,1.49071,1.0267,0.277412,0.00339409,0.183201,0.162042
244,0,1,172,2.43462,1.704,0.430186,0.00395487,0.296479,1.07563
243,0,1,142,1.96483,1.41292,0.287471,0.00425094,0.260196,0.197535
242,1,0,100,1.43141,0.995944,0.236683,0.00253645,0.19625,1.32025
241,0,1,150,2.07157,1.49061,0.325606,0.00277426,0.252576,0.497458
240,0,1,127,1.76814,1.26494,0.294539,0.0024823,0.206177,0.35135
239,0,1,151,2.09297,1.49562,0.341197,0.00269956,0.253454,0.530434
238,1,0,200,2.68397,1.97237,0.372211,0.00460817,0.334788,0.987853
237,0,1,121,1.69891,1.2025,0.280624,0.00385981,0.211924,0.387821
236,0,1,116,1.57094,1.15604,0.220066,0.00313306,0.191698,0.341378
235,0,1,172,2.32758,1.70624,0.308877,0.0046563,0.30781,0.402201
234,1,0,200,2.7624,1.97492,0.434312,0.00453934,0.348634,0.943912
233,0,1,163,2.29284,1.6116,0.40923,0.00338034,0.268624,0.861169
232,0,1,129,1.83866,1.28084,0.330592,0.00316092,0.224066,0.375391
231,0,1,127,1.77638,1.26523,0.290596,0.00216466,0.218385,0.515757
230,1,0,200,2.78178,1.97211,0.479616,0.00385024,0.326199,1.67547
229,0,1,129,1.84123,1.28489,0.32244,0.00356505,0.230337,0.472847
