s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,0,200,2.30091,1.68109,0.337234,0.002382,0.280205,0.403068
0,298,1,96,1.14068,0.814315,0.182641,0.00123376,0.142484,0.0672538
0,297,1,89,1.08657,0.758479,0.177262,0.00125745,0.149567,0.0976067
0,296,1,90,1.1706,0.770798,0.258343,0.00134646,0.140114,0.0685334
0,295,0,200,2.69281,1.68752,0.707869,0.00280663,0.29461,0.597916
0,294,1,86,1.03593,0.734635,0.166414,0.00124384,0.133638,0.0923005
0,293,0,200,2.81307,1.72322,0.78434,0.003034,0.302479,0.522994
0,292,1,87,1.55465,0.781237,0.628554,0.00116469,0.143696,0.0962403
0,291,1,68,0.919944,0.593053,0.221745,0.00130741,0.103839,0.0919792
0,290,1,116,1.87161,1.0275,0.656364,0.00167388,0.186076,0.0956735
0,289,0,200,2.33371,1.69394,0.353267,0.00278739,0.283717,0.593306
0,288,1,90,1.08237,0.771823,0.176471,0.00127791,0.132795,0.0957385
0,287,1,98,1.21045,0.839237,0.201583,0.00142187,0.168208,0.0740901
0,286,1,111,1.38326,0.947357,0.271017,0.00141537,0.16347,0.0929889
0,285,1,155,1.87682,1.32102,0.298107,0.00221177,0.255477,0.0791918
0,284,1,91,1.15168,0.777896,0.235646,0.00146515,0.136668,0.0714533
0,283,0,200,2.38246,1.68628,0.408003,0.00296906,0.28521,0.59911
0,282,1,90,1.14635,0.77314,0.239039,0.00130046,0.132876,0.0699845
0,281,1,106,1.25939,0.90691,0.186687,0.00145344,0.164336,0.0923404
0,280,1,101,1.16548,0.865395,0.138467,0.00168708,0.159927,0.0576531
0,279,1,88,1.09931,0.754925,0.203165,0.00193584,0.139284,0.0968278
0,278,0,200,2.34452,1.69381,0.364336,0.00303264,0.283343,0.586384
0,277,1,85,0.983843,0.72772,0.12341,0.00112808,0.131584,0.084067
0,276,1,101,1.20214,0.864214,0.176237,0.00176732,0.159925,0.0840402
0,275,1,96,1.25065,0.81933,0.272454,0.00146967,0.157393,0.067027
0,274,0,200,2.28369,1.69266,0.308876,0.00259182,0.279563,0.649997
0,273,0,200,2.30511,1.68755,0.324124,0.0027687,0.290658,0.669864
0,272,1,88,1.02248,0.752058,0.139149,0.00141331,0.129861,0.026698
0,271,0,200,2.21901,1.68686,0.23281,0.0034708,0.295873,0.452579
0,270,0,200,2.22186,1.68611,0.252598,0.002645,0.280507,0.535253
0,269,1,92,1.09757,0.785825,0.169018,0.00131204,0.141418,0.0941415
0,268,0,200,2.45815,1.68984,0.469403,0.0030605,0.295843,0.887475
0,267,0,200,2.28286,1.69144,0.306873,0.00314327,0.281405,0.400947
0,266,1,87,1.05897,0.746051,0.171633,0.00135641,0.13993,0.0968876
0,265,1,110,1.25023,0.936846,0.137816,0.00158374,0.17398,0.0858198
0,264,1,93,1.13008,0.796573,0.184983,0.00152617,0.146993,0.0998983
0,263,1,92,1.15739,0.787722,0.232375,0.00140432,0.135891,0.0701413
0,262,1,90,1.08891,0.769414,0.182979,0.00145657,0.135056,0.0767744
0,261,1,82,1.00056,0.702254,0.175922,0.0011664,0.121219,0.0555437
0,260,1,106,1.26247,0.903164,0.19793,0.00166274,0.159711,0.0866209
0,259,1,93,1.16901,0.79804,0.233885,0.00171552,0.13537,0.0389953
0,258,1,82,0.963876,0.701368,0.139456,0.00144822,0.121603,0.0883254
0,257,1,85,0.999013,0.724775,0.145852,0.00120016,0.127186,0.0980798
0,256,1,82,0.96178,0.702529,0.129424,0.00108348,0.128744,0.0829705
0,255,1,92,1.14197,0.788474,0.215649,0.00189304,0.135957,0.0339202
0,254,1,81,0.930349,0.694855,0.114492,0.00099427,0.120007,0.0791814
0,253,0,200,2.30994,1.6924,0.32906,0.00294915,0.28553,0.742313
0,252,0,200,2.37608,1.68858,0.405554,0.00289289,0.279053,0.54604
0,251,1,76,0.897831,0.651799,0.135756,0.00127499,0.109001,0.0551322
0,250,1,98,1.13264,0.839007,0.126064,0.00128027,0.166291,0.0654496
0,249,1,94,1.08512,0.803953,0.138944,0.0013571,0.140868,0.0775169
0,248,1,105,1.23957,0.898072,0.171517,0.001654,0.168331,0.0617237
0,247,1,92,1.15845,0.787852,0.237442,0.00143769,0.131722,0.0875337
0,246,1,87,0.984932,0.743605,0.11636,0.00138092,0.123585,0.0999837
0,245,1,92,1.0546,0.78707,0.122489,0.00152634,0.143516,0.0811365
0,244,1,91,1.06532,0.777809,0.154987,0.00127789,0.131243,0.0927101
0,243,1,91,1.06596,0.779326,0.158499,0.00152903,0.126604,0.0701069
0,242,0,200,2.23355,1.69007,0.263531,0.0028788,0.27707,0.851072
0,241,1,76,0.89024,0.649571,0.125326,0.000936689,0.114407,0.0985315
0,240,0,200,2.28916,1.68986,0.319342,0.00274298,0.277212,0.678157
0,239,0,200,2.29584,1.68965,0.321778,0.00321541,0.281197,0.491886
0,238,0,200,2.28788,1.68759,0.303181,0.00290527,0.294209,0.536683
0,237,1,83,0.951799,0.711565,0.117219,0.00108037,0.121935,0.0182341
0,236,1,84,0.943569,0.716901,0.0994936,0.00121385,0.125961,0.0886556
0,235,0,56,0.671794,0.475729,0.0804329,0.000777041,0.114855,2.90467
0,234,1,112,1.23157,0.953922,0.102085,0.00162968,0.173935,0.0761378
0,233,1,81,0.921544,0.695396,0.108267,0.00117788,0.116703,0.0884689
0,232,1,81,0.944601,0.692889,0.126887,0.00114461,0.123681,0.0740959
0,231,1,101,1.20398,0.861845,0.194586,0.0013898,0.146158,0.0279682
0,230,1,83,0.969124,0.712545,0.123038,0.000984124,0.132558,0.0719594
0,229,1,104,1.26298,0.886704,0.221846,0.00149073,0.152935,0.0849971
0,228,1,84,0.976449,0.719016,0.128422,0.0011082,0.127904,0.0884042
0,227,1,82,0.920883,0.702252,0.0941418,0.00130037,0.123188,0.066418
0,226,1,85,0.99676,0.725514,0.146762,0.0011821,0.123302,0.0456165
0,225,1,102,1.17431,0.873307,0.151003,0.00157239,0.14843,0.0915345
0,224,1,84,1.00172,0.718015,0.133982,0.00123824,0.148484,0.0770554
0,223,1,100,1.15256,0.854619,0.153012,0.00177684,0.143151,0.0508025
0,222,0,60,0.729047,0.51595,0.102029,0.000832557,0.110235,2.27041
0,221,0,200,2.2386,1.68727,0.265775,0.00315687,0.282391,0.40839
0,220,1,85,0.946375,0.728943,0.0858528,0.00110207,0.130478,0.0974677
0,219,1,100,1.15885,0.853825,0.159954,0.00155688,0.143512,0.017687
0,218,1,121,1.32672,1.03067,0.11601,0.00173561,0.178299,0.00969255
0,217,1,88,1.00546,0.754676,0.120098,0.00122955,0.129452,0.0875927
0,216,1,83,0.939278,0.713328,0.105364,0.00133481,0.11925,0.0989717
0,215,1,93,1.06019,0.794297,0.122014,0.00139615,0.142479,0.0998648
0,214,1,83,0.995869,0.712645,0.165221,0.00175023,0.116253,0.0859465
0,213,0,200,2.36495,1.69125,0.380788,0.00272286,0.290193,0.617036
0,212,1,79,0.923503,0.676898,0.129735,0.00114787,0.115721,0.0969645
0,211,1,92,1.09926,0.787264,0.165553,0.00157167,0.144866,0.0820759
0,210,0,79,0.95083,0.667222,0.141933,0.00095842,0.140716,2.72011
0,209,1,83,0.935822,0.709505,0.108012,0.00116664,0.117138,0.0980709
0,208,1,117,1.32138,0.99516,0.147371,0.00167828,0.177169,0.0604158
0,207,0,75,0.868078,0.631218,0.0816039,0.000903937,0.154352,3.34459
0,206,1,82,0.935774,0.702792,0.114142,0.00127446,0.117565,0.0939274
0,205,0,200,2.34177,1.68919,0.368276,0.00285787,0.281445,0.787658
0,204,1,94,1.11027,0.80501,0.157177,0.00149211,0.146593,0.0957163
0,203,1,74,0.879081,0.633991,0.132357,0.00109099,0.111643,0.0922111
0,202,0,200,2.29598,1.68948,0.319726,0.0029241,0.28385,0.537372
0,201,1,85,1.0013,0.731127,0.144122,0.00132471,0.124728,0.0986469
0,200,1,91,1.05416,0.780353,0.135894,0.00137912,0.136538,0.0730561
0,199,1,112,1.2906,0.953629,0.16553,0.00152713,0.169909,0.0964485
0,198,1,95,1.10277,0.814256,0.150606,0.00139123,0.136521,0.0590302
0,197,1,108,1.35774,0.918847,0.276829,0.00189266,0.160171,0.0798666
0,196,0,200,2.33178,1.69137,0.359312,0.00344995,0.277648,0.48994
0,195,1,85,0.951004,0.728651,0.102224,0.00174337,0.118386,0.0732316
0,194,1,95,1.0839,0.812634,0.1295,0.00141978,0.14035,0.07636
0,193,1,81,0.888515,0.695609,0.0580862,0.00122099,0.133598,0.0707039
0,192,1,99,1.14841,0.847814,0.152756,0.00147887,0.146362,0.0940899
0,191,1,79,0.954613,0.675287,0.16391,0.00103182,0.114384,0.0706323
0,190,1,78,0.889609,0.669788,0.104809,0.00104894,0.113962,0.0754228
0,189,1,76,0.905649,0.65025,0.136641,0.00102677,0.117731,0.0754164
0,188,1,95,1.13275,0.810738,0.183888,0.00137773,0.136749,0.06109
0,187,1,99,1.14969,0.847271,0.152055,0.0017672,0.148597,0.0955563
0,186,1,101,1.19782,0.861503,0.187462,0.00145206,0.147402,0.0644166
0,185,0,200,2.28821,1.68905,0.321206,0.00273439,0.275223,0.546906
0,184,1,102,1.23698,0.868819,0.209909,0.0017074,0.156542,0.0846248
0,183,1,94,1.13217,0.805989,0.167324,0.00133314,0.157519,0.0856028
0,182,0,200,2.24489,1.6929,0.264902,0.00300954,0.284083,0.623772
0,181,1,95,1.16704,0.81094,0.203656,0.00139305,0.151055,0.036505
0,180,1,93,1.06213,0.794563,0.128798,0.00148986,0.137278,0.0692504
0,179,1,79,0.928555,0.676373,0.131724,0.00109823,0.11936,0.0990829
0,178,1,85,0.973099,0.729249,0.119381,0.00126838,0.123201,0.0962736
0,177,1,97,1.08206,0.830777,0.1123,0.00151578,0.13747,0.0995929
0,176,1,86,1.06264,0.74056,0.195806,0.00113724,0.125138,0.08926
0,175,0,200,2.30844,1.6914,0.326885,0.00253671,0.287618,0.599727
0,174,1,79,0.99564,0.679542,0.195319,0.00122678,0.119551,0.0593895
0,173,1,87,1.00901,0.746278,0.136988,0.00122337,0.124521,0.0626632
0,172,1,96,1.21188,0.82356,0.246001,0.00191376,0.140409,0.0747155
0,171,1,99,1.15415,0.843739,0.150856,0.0013531,0.1582,0.0824002
0,170,1,112,1.29613,0.956381,0.172928,0.00176384,0.165054,0.0870992
0,169,1,79,0.879498,0.676832,0.0819583,0.000953294,0.119755,0.0372691
0,168,1,102,1.16675,0.873561,0.144816,0.00146098,0.146915,0.0596241
0,167,1,72,0.818961,0.619061,0.0892099,0.00107922,0.109611,0.0723178
0,166,0,200,2.26145,1.69362,0.280111,0.00372972,0.283981,0.322371
0,165,1,83,0.95422,0.7117,0.116899,0.00136746,0.124254,0.0979762
0,164,1,86,1.02398,0.735537,0.160202,0.00136007,0.126883,0.0998888
0,163,0,200,2.26762,1.69183,0.297111,0.00294987,0.275731,0.290191
0,162,1,88,1.03468,0.754653,0.141071,0.00116435,0.137791,0.0967771
0,161,0,200,2.32923,1.689,0.364552,0.00275896,0.272924,0.558724
