Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
0,-0.075,-0.075,-0.075,-0.0172123,-0.0567184,0.0376755,1.65071
1,0,0,-0.0910939,0.0194129,0.00349374,0.0672532,1.575
2,0.075,-0.075,-0.0160939,-0.0606687,0.103494,0.148252,1.50985
3,0.0261528,-0.0819105,-0.038249,-0.0708817,0.0938254,0.163815,1.56037
4,-0.0488472,-0.00691049,0.0360652,-0.147246,0.0899444,0.22955,1.64531
5,-0.0188305,-0.00699785,-0.0111657,-0.104415,0.0658838,0.298989,1.62226
6,-0.0938305,-0.00208231,-0.0861657,-0.204415,0.103976,0.324208,1.71351
7,-0.0469526,-0.0223259,-0.0533838,-0.203944,0.0315818,0.2324,1.64835
8,0.0280474,0.0526741,-0.128384,-0.188735,-0.0519959,0.1324,1.5669
9,-0.0469526,0.0218183,-0.178633,-0.167552,0.018732,0.0324001,1.63676
10,-0.0461038,0.0968183,-0.132508,-0.0858995,0.0758954,0.0123938,1.62929
11,-0.121104,0.0218183,-0.207508,-0.0450966,0.0739658,-0.0702589,1.70836
12,-0.159176,-0.0198805,-0.132508,-0.0641474,0.070122,-0.170259,1.74607
13,-0.205012,0.0551195,-0.0575084,0.00666005,0.105478,-0.0976165,1.78341
14,-0.193869,-0.0198805,-0.101532,-0.00336846,0.136369,-0.0600264,1.77397
15,-0.118869,0.0288719,-0.168804,-0.0401587,0.155327,-0.0819875,1.70785
16,-0.193869,0.103872,-0.0938036,-0.0644038,0.156966,-0.0694154,1.77967
17,-0.118869,0.0473734,-0.110039,-0.0496739,0.197555,-0.0664464,1.70741
18,-0.185813,0.109291,-0.185039,0.0261326,0.162355,-0.135308,1.78247
19,-0.179162,0.14202,-0.260039,0.0386137,0.122686,-0.039262,1.77995
20,-0.239576,0.0670196,-0.185039,-0.0110608,0.0476527,0.00496189,1.8217
21,-0.227429,-0.00798045,-0.260039,-0.111061,0.00332824,0.0860384,1.82237
22,-0.152429,0.0670196,-0.273805,-0.0110608,0.102474,0.115456,1.75297
