# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
0,0.0499831,-0.00924203,-0.0433877,-0.0107783,-0.0157083,-0.0011973,1.52158
1,0.0590684,-0.0752734,-0.0525392,-0.011803,0.0106746,-0.0108114,1.51463
2,0.0722994,-0.131959,0.0362385,0.023971,-0.0153993,0.0063771,1.50502
3,0.140274,-0.0690076,0.0797509,0.0253926,-0.0820504,0.0265545,1.43722
4,0.10986,-0.108072,0.179567,-0.0262895,-0.0458785,-0.0405074,1.4774
5,0.173467,-0.142055,0.178025,0.0443488,0.0426096,-0.0932405,1.42017
6,0.180042,-0.275592,0.126361,0.0450121,0.140471,-0.0123809,1.43109
7,0.126878,-0.243017,0.103484,-0.154988,0.143471,-0.00809034,1.48302
8,0.151879,-0.173675,0.0560696,-0.243728,0.0543984,-0.081342,1.45451
9,0.263144,-0.222415,0.0373377,-0.238521,0.10444,-0.196602,1.36648
10,0.20559,-0.203553,-0.0263201,-0.354845,-0.0545536,-0.209355,1.44175
11,0.204397,-0.332147,-0.0506345,-0.375929,0.0820352,-0.191125,1.47123
12,0.193663,-0.38112,-0.078077,-0.375222,0.114447,-0.258809,1.50623
13,0.301176,-0.335146,-0.110774,-0.356593,0.259431,-0.260449,1.4138
14,0.266148,-0.276593,-0.186095,-0.450097,0.30903,-0.3013,1.48395
15,0.27163,-0.24406,-0.290162,-0.372471,0.370527,-0.274347,1.47746
16,0.255424,-0.265636,-0.240888,-0.317918,0.316416,-0.27561,1.46149
17,0.135099,-0.20449,-0.362634,-0.418474,0.335497,-0.193206,1.59986
18,0.0911519,-0.221957,-0.424661,-0.419643,0.254851,-0.116782,1.63513
19,0.0416419,-0.334868,-0.545169,-0.424309,0.394173,-0.262117,1.77532
20,-0.0427779,-0.344616,-0.528865,-0.494033,0.366451,-0.176373,1.84704
21,0.0333732,-0.436497,-0.545868,-0.435033,0.415286,-0.172766,1.80104
22,-0.0646758,-0.558196,-0.445811,-0.357999,0.414827,-0.159904,1.87374
23,0.0474264,-0.46945,-0.407511,-0.332315,0.470419,-0.112127,1.74683
24,0.0999882,-0.431804,-0.340213,-0.32864,0.434066,-0.0782166,1.66373
25,-0.0149235,-0.4874,-0.453249,-0.291488,0.395574,-0.0503548,1.78927
26,-0.124929,-0.604458,-0.351021,-0.335428,0.370207,0.0267505,1.90114
27,-0.0876893,-0.583259,-0.367693,-0.389016,0.387087,-0.0341158,1.87838
28,0.0117118,-0.65234,-0.452362,-0.364385,0.315193,-0.06817,1.81596
29,0.0678374,-0.768719,-0.462293,-0.368655,0.397344,-0.0784552,1.83398
30,0.154305,-0.733957,-0.568941,-0.293269,0.242985,-0.0404591,1.73653
31,0.189899,-0.785221,-0.564556,-0.378771,0.288254,-0.0627632,1.7529
32,0.180189,-0.846283,-0.668923,-0.35973,0.209512,0.0198105,1.80863
33,0.15531,-0.883653,-0.642888,-0.382535,0.211124,0.15195,1.84709
34,0.150195,-0.85759,-0.736777,-0.290276,0.176145,0.163299,1.85428
35,0.153876,-0.896912,-0.64389,-0.383914,0.183641,0.31459,1.87264
36,0.226396,-0.848996,-0.6736,-0.414669,0.283282,0.278818,1.81986
37,0.229901,-0.951139,-0.709068,-0.312268,0.313235,0.317685,1.87136
38,0.339593,-0.882381,-0.818572,-0.386897,0.277517,0.374301,1.82519
39,0.370642,-0.862542,-0.923404,-0.246224,0.258831,0.370545,1.81713
40,0.469697,-0.901729,-0.974463,-0.166951,0.281515,0.42202,1.80564
41,0.439697,-0.852523,-0.889069,-0.211906,0.285473,0.513811,1.78522
42,0.534562,-0.827051,-0.886201,-0.160411,0.291678,0.556625,1.72157
43,0.626565,-0.819076,-0.872679,-0.137046,0.248265,0.549316,1.64505
44,0.702654,-0.735793,-0.884895,-0.0448739,0.14212,0.520132,1.53976
45,0.661118,-0.712379,-0.818377,0.0170803,0.121618,0.517614,1.51253
46,0.748252,-0.713119,-0.830754,-0.00723124,0.195456,0.482247,1.46495
47,0.84208,-0.668183,-0.734563,-0.0441973,0.169136,0.417025,1.31208
48,0.933062,-0.599755,-0.66859,-0.036446,0.143898,0.374954,1.17305
49,1.03454,-0.497048,-0.565393,-0.0309895,0.118979,0.341344,0.99294
50,1.13245,-0.428887,-0.493159,-0.00821196,0.110016,0.278683,0.842101
51,1.24761,-0.360737,-0.39773,-0.00530785,0.099707,0.226325,0.673768
52,1.34122,-0.285412,-0.291277,0.0124455,0.090021,0.182401,0.510428
53,1.41816,-0.220642,-0.20022,0.0157206,0.0452289,0.133364,0.363522
54,1.49842,-0.170693,-0.128547,0.0197074,0.00677937,0.0951489,0.245738
55,1.59012,-0.125424,-0.0347335,0.0225785,-0.020518,0.0450775,0.142385
