# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
0,0.0256954,-0.0180561,-0.000332855,-0.00876956,-0.03457,0.0254253,1.54583
1,0.0577813,0.0246624,-0.00481319,-0.0442592,0.0196478,0.0589239,1.51514
2,0.0632337,-0.000905628,0.000694574,-0.0479844,0.0348327,0.067333,1.51023
3,0.0658376,0.0102586,0.0163845,-0.0838295,-0.034786,0.0873623,1.51035
4,0.0795061,0.0208678,0.0517118,-0.11909,0.0483985,0.0698333,1.49949
5,0.130537,0.018538,0.0859282,-0.116057,0.0441943,0.0668143,1.44981
6,0.187091,-0.00318644,0.00122328,-0.168406,0.0569927,0.0985567,1.39856
7,0.259243,-0.0316456,0.00102267,-0.166028,0.00398948,0.143612,1.33018
8,0.319773,-0.0236831,-0.0768559,-0.0770161,0.103708,0.0803293,1.2628
9,0.305983,0.00976636,-0.0398906,-0.0447098,0.0952184,0.0856661,1.27273
10,0.25072,0.0472282,-0.087636,-0.0616332,0.0287534,0.0996086,1.32931
11,0.272769,0.0396338,-0.163653,-0.108278,0.0256837,0.104494,1.31778
12,0.350322,-0.0153266,-0.293236,-0.0867435,-0.131806,0.132076,1.27205
13,0.315107,-0.128209,-0.443236,-0.0443953,-0.0648692,0.0187285,1.34022
14,0.279331,-0.115135,-0.527634,-0.105473,-0.198461,0.0350367,1.41819
15,0.369193,-0.175182,-0.464289,-0.0280969,-0.136073,-0.000952594,1.30744
16,0.333112,-0.15288,-0.424474,-0.0581679,-0.129841,0.011113,1.32506
17,0.183112,-0.270456,-0.557808,-0.0758949,-0.110508,0.0665466,1.52721
18,0.235403,-0.239572,-0.521372,-0.188632,-0.13554,-0.117606,1.47658
19,0.242618,-0.141045,-0.463179,-0.110023,-0.217016,-0.0983546,1.43783
20,0.138095,-0.0038874,-0.400641,-0.148471,-0.201441,-0.141232,1.51517
21,0.232913,0.0151685,-0.447152,-0.11862,-0.227805,-0.133885,1.44014
22,0.30756,-0.0617192,-0.435698,-0.0581214,-0.297578,-0.0730443,1.37356
23,0.344552,-0.0982191,-0.330728,-0.0219705,-0.347255,-0.140317,1.32795
24,0.194552,-0.00683783,-0.383892,-0.122342,-0.362137,-0.0781556,1.48111
25,0.213218,-0.0823148,-0.31463,-0.0814892,-0.162137,0.0539687,1.40877
26,0.296522,-0.0761915,-0.195698,-0.05216,-0.136657,0.229671,1.31986
27,0.231267,-0.0163794,-0.0857967,-0.0433492,-0.106587,0.209221,1.36344
28,0.146637,0.102121,0.0505894,-0.0683104,-0.158307,0.116661,1.4438
29,0.21148,0.069282,0.0430343,-0.106988,0.041693,-0.0265686,1.36685
30,0.223891,-0.0364639,0.132731,0.0930124,0.00159346,0.143227,1.36465
31,0.0738907,-0.0178207,0.138421,0.0924296,0.0564034,0.0109594,1.50733
32,0.153376,-0.160256,0.187719,-0.012529,-0.0253954,0.153783,1.44722
33,0.0644442,-0.14168,0.148871,-0.0396337,-0.167,0.159753,1.53828
34,0.164767,-0.18118,0.182187,-0.186634,-0.00979882,0.176837,1.45229
35,0.266393,-0.327192,0.229338,-0.304017,-0.151876,0.33946,1.44632
36,0.27518,-0.227916,0.0793382,-0.240294,-0.102051,0.371251,1.39386
37,0.334652,-0.184568,0.0189191,-0.186374,-0.186746,0.275521,1.3069
38,0.411506,-0.111939,0.0350168,-0.066033,-0.0956356,0.288854,1.20609
39,0.364692,-0.166856,-0.0844994,-0.148945,-0.102579,0.344233,1.28097
40,0.21949,-0.0458159,0.0655006,-0.162039,-0.074779,0.42676,1.43052
41,0.14307,0.0047369,-0.0521777,-0.115071,-0.00156824,0.384593,1.48402
42,0.26074,-0.121826,-0.127949,0.0666476,-0.0358059,0.227588,1.3435
43,0.386007,-0.19938,-0.0898127,0.0490463,-0.0499003,0.0981086,1.21081
44,0.316884,-0.248082,-0.0673162,-0.120546,-0.175756,-0.0707811,1.29954
45,0.364357,-0.169146,0.0431763,-0.111923,0.000680849,0.048746,1.2251
46,0.400126,-0.0191463,0.0269514,-0.159193,-0.00278013,0.0866857,1.18508
47,0.359599,0.0859052,0.025866,-0.226505,0.14436,0.232843,1.26547
48,0.314652,0.231528,0.165841,-0.296073,0.231093,0.0741445,1.34371
49,0.285799,0.186342,0.125506,-0.374766,0.3712,-0.0617569,1.40846
50,0.31052,0.222183,0.220334,-0.182595,0.435647,-0.0300485,1.38211
51,0.283503,0.0721831,0.15323,-0.326935,0.273078,-0.109975,1.3709
