# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
0,0.0230026,0.0230376,0.0190755,0.00874783,0.00448638,0.00441548,1.54812
1,0.0431697,-0.113978,-0.0116739,0.0047894,0.00296355,-0.00353341,1.53193
2,0.0272053,-0.168183,-0.0219654,-0.0262617,-0.00232841,0.0272454,1.55334
3,0.0999322,-0.304986,-0.0371391,0.0500408,0.0206558,0.0334615,1.50396
4,0.149803,-0.266566,0.0693609,0.0233434,-0.090804,0.0274666,1.45074
5,0.12905,-0.309766,0.0102413,0.0581121,-0.145594,-0.0655184,1.48444
6,0.189533,-0.2488,-0.0130003,-0.116027,0.0544063,-0.24427,1.4304
7,0.318056,-0.289411,-0.0372184,-0.189686,0.113181,-0.18491,1.31814
8,0.214798,-0.389838,0.112782,-0.0588577,0.0635497,-0.216113,1.43445
9,0.178295,-0.371065,0.122386,0.141142,0.119216,-0.206577,1.47259
10,0.211535,-0.312604,0.166748,-0.00442669,0.216196,-0.0065766,1.42124
11,0.267451,-0.377335,0.0280003,-0.0852926,0.353292,-0.159057,1.41395
12,0.152593,-0.444071,-0.0344665,-0.0799187,0.366896,-0.147577,1.54028
13,0.266586,-0.531195,-0.178704,-0.182565,0.33575,0.0127667,1.47013
14,0.162959,-0.39959,-0.246081,-0.254724,0.469892,0.13559,1.58313
15,0.163862,-0.26172,-0.249164,-0.111428,0.36582,0.00373157,1.5021
16,0.0679243,-0.204968,-0.182165,-0.231944,0.20092,0.00921444,1.55823
17,0.196216,-0.283345,-0.18783,-0.0319441,0.3762,0.0338764,1.46585
18,0.0462161,-0.16427,-0.215037,-0.0424395,0.339365,0.19448,1.59761
19,0.173969,-0.312726,-0.357785,-0.0186133,0.491446,0.0892665,1.55781
20,0.186868,-0.45693,-0.207785,-0.176673,0.305954,0.0390218,1.51445
21,0.214579,-0.444261,-0.357785,-0.206449,0.240015,-0.154312,1.51286
22,0.159454,-0.294261,-0.251105,-0.121973,0.179595,-0.112185,1.48366
23,0.309454,-0.194667,-0.205101,-0.165637,-0.0143568,-0.0169774,1.30341
24,0.384115,-0.0751724,-0.155684,-0.365637,-0.174548,-0.20236,1.28188
25,0.288795,-0.172669,-0.305684,-0.170154,-0.0721189,-0.229371,1.36145
26,0.438795,-0.0226693,-0.353749,-0.201677,-0.106267,-0.108586,1.21278
27,0.429077,-0.0462158,-0.299286,-0.398511,-0.113919,-0.0426617,1.25253
28,0.390654,0.103784,-0.231351,-0.198511,0.000453026,-0.116995,1.22887
29,0.268699,0.0449767,-0.381351,-0.0433518,0.0186841,-0.115829,1.36329
30,0.303752,-0.105023,-0.266454,-0.0392846,0.218684,-0.131772,1.32445
31,0.312593,-0.027088,-0.155388,-0.0913689,0.043777,0.0668548,1.27385
32,0.385379,-0.160498,-0.0546356,0.00419089,0.00102572,0.262076,1.22583
33,0.32436,-0.193253,-0.16132,-0.00655114,-0.137601,0.121049,1.28476
34,0.303652,-0.155247,-0.279855,-0.129188,-0.142209,0.18657,1.33409
35,0.375013,-0.23449,-0.315405,-0.0518899,-0.0577446,0.177046,1.27347
36,0.230084,-0.38449,-0.169695,0.123624,-0.237073,-0.00332825,1.43026
37,0.344978,-0.53449,-0.319695,0.176388,-0.109051,-0.00885402,1.39054
38,0.493243,-0.568542,-0.248558,0.376388,0.0746352,-0.0693456,1.30315
39,0.643243,-0.532398,-0.372953,0.193672,-0.125365,0.0834079,1.15891
40,0.793243,-0.548981,-0.495022,-0.00632836,-0.138056,0.267436,1.11429
41,0.86728,-0.59252,-0.376359,-0.143226,-0.338056,0.325357,1.10829
42,0.967884,-0.576294,-0.320091,-0.230849,-0.367673,0.125357,1.00113
43,1.02904,-0.507421,-0.170193,-0.250224,-0.320754,-0.0746427,0.866609
44,1.0613,-0.515679,-0.230729,-0.0502243,-0.162231,-0.195464,0.803616
45,1.16549,-0.479139,-0.31622,0.0286073,-0.362231,-0.253508,0.830746
46,1.23657,-0.495465,-0.171359,0.159171,-0.293923,-0.0757065,0.70994
47,1.3312,-0.41954,-0.133244,0.359171,-0.259463,-0.0576162,0.67143
48,1.48048,-0.331198,-0.123258,0.192662,-0.0595484,-0.202601,0.463414
49,1.44925,-0.323117,-0.0020187,0.127013,-0.226864,-0.321964,0.538927
50,1.49889,-0.227707,0.0227218,0.0167954,-0.312096,-0.192702,0.438585
51,1.57227,-0.0800064,-0.0133286,0.0804739,-0.166373,-0.246339,0.318465
52,1.67219,-0.0496688,0.0576224,0.200033,0.00786922,-0.282481,0.368697
53,1.74403,-0.0258008,0.0341381,0.0759852,0.0702859,-0.115736,0.236537
54,1.6357,0.0328737,-0.115862,0.0221015,-0.129049,-0.000528494,0.189366
55,1.4857,-0.11443,-0.0635247,-0.0857443,0.0328945,-0.0944054,0.204249
56,1.3357,0.0355704,0.0592658,-0.254584,-0.142041,-0.0278631,0.381855
57,1.23332,0.0343671,0.209266,-0.149378,-0.080262,0.0656773,0.438099
