# START,0,0,0,0,0,0
# TARGET,1.5708,0,0,0,0,0
# OBS,-0.6,-0.4,-0.6,-0.4,-1,0.5
Iter,q_0,q_1,q_2,q_3,q_4,q_5,err
0,0.0289175,0.0383262,0.00665517,-0.0112825,0.0014265,-0.00494104,1.54242
1,0.069471,0.04795,0.042471,-0.0432033,-0.0343124,0.0155177,1.50378
2,0.108761,0.0466781,0.0549666,-0.0772218,-0.0355709,0.0298079,1.46658
3,0.152157,0.00247555,0.0417525,-0.0378943,-0.0958606,0.0439438,1.42367
4,0.187847,0.05937,0.164021,-0.0793728,-0.0520302,0.117764,1.40209
5,0.180261,0.0127063,0.0782573,-0.0466655,-0.020164,0.0544473,1.39478
6,0.216045,-0.0961574,0.0476461,-0.0138355,-0.038407,0.177202,1.37111
7,0.235421,-0.22548,0.0158008,-0.0326101,-0.0610053,0.184985,1.36869
8,0.255094,-0.210934,-0.011564,-0.0556583,-0.026081,0.204355,1.34953
9,0.238807,-0.166743,-0.0601855,-0.145245,0.0147847,0.186648,1.36447
10,0.203448,-0.0529249,-0.00195279,-0.118517,-0.00313074,0.151054,1.38178
11,0.26669,-0.186322,0.0525299,-0.203298,0.040819,0.114386,1.3395
12,0.331157,-0.227646,-0.029177,-0.0719182,0.0201635,0.187239,1.27672
13,0.339406,-0.149311,0.0299814,-0.105028,0.0520933,0.0358807,1.24681
14,0.30119,-0.0827709,0.057423,-0.146758,0.0607592,-0.0247043,1.2837
15,0.282323,-0.135677,0.152025,-0.146269,0.0531125,-0.0506945,1.31471
16,0.336053,-0.176132,0.0454262,-0.043661,0.0525971,-0.00724116,1.24996
17,0.312394,-0.148388,0.0047284,-0.0806557,0.108254,0.0802305,1.27682
18,0.447157,-0.109959,-0.0671387,-0.155925,0.112753,-0.0630455,1.14898
19,0.322789,-0.102014,-0.0527135,-0.0474675,0.0237693,-0.158444,1.26437
20,0.365304,0.0479857,-0.165172,0.0107924,-0.0500023,-0.110605,1.22378
21,0.24691,-0.0341252,-0.254896,-0.00327757,-0.0759465,-0.168444,1.36124
22,0.243785,0.0647188,-0.104896,-0.0065152,0.0127413,0.0217158,1.33298
23,0.223665,0.111999,-0.0336231,-0.0507251,0.07378,-0.129716,1.36135
24,0.136865,0.00609899,-0.00470032,0.0201923,0.224749,-0.0520929,1.45253
25,0.12272,-0.0213562,-0.0259256,-0.127724,0.0838831,-0.0147377,1.45658
26,0.213781,-0.0931821,-0.0199202,-0.134526,0.191908,0.0160466,1.38049
27,0.363781,-0.0784325,0.01934,0.00554198,0.272786,-0.0379502,1.24068
28,0.379819,-0.11078,-0.0493515,-0.104386,0.422091,0.0843057,1.27644
29,0.413112,-0.094226,-0.0676925,-0.145445,0.222091,0.0767773,1.19585
30,0.362091,-0.0220619,0.0823075,-0.198441,0.268988,-0.00923651,1.257
31,0.275258,-0.0673889,0.232308,-0.117521,0.459409,0.0448383,1.40136
32,0.161293,0.0490033,0.209192,-0.0900958,0.587158,0.1069,1.54828
33,0.286008,-0.0937427,0.167036,0.0680161,0.513319,0.0564176,1.39953
34,0.305348,0.0121609,0.0580317,0.0995807,0.613232,0.208804,1.42634
35,0.304018,0.0758467,-0.0192554,0.0222125,0.438669,0.199452,1.35778
36,0.290796,0.207016,-0.0561881,-0.0202682,0.243184,0.258353,1.34563
37,0.192929,0.106034,0.0615831,-0.134641,0.259478,0.266072,1.43868
38,0.309991,-0.0439657,0.0998876,-0.287586,0.216793,0.116185,1.32089
39,0.276202,0.0562761,0.13647,-0.280466,0.254773,0.229609,1.37625
40,0.289933,0.0589912,0.214062,-0.247458,0.238549,0.26825,1.37114
41,0.413874,-0.0174227,0.191485,-0.156458,0.268431,0.0991113,1.21729
42,0.263874,-0.0919024,0.153012,-0.222758,0.163818,0.10109,1.35151
43,0.235556,-0.0589241,0.118611,-0.289922,0.221308,0.153634,1.39894
44,0.131917,-0.136786,0.131499,-0.414606,0.152728,0.0246653,1.5173
45,0.177592,-0.1741,0.00728906,-0.425602,-0.0192474,0.101338,1.47077
46,0.327592,-0.0241968,0.134823,-0.455228,-0.0281353,0.16861,1.34193
47,0.361116,0.0181327,0.0082892,-0.434625,-0.00583331,0.125147,1.29163
48,0.315185,0.0937985,0.0652375,-0.420512,-0.0380888,0.201626,1.34482
49,0.278388,0.0817634,-0.00448499,-0.382547,-0.0917219,0.316644,1.38998
50,0.260535,0.0662448,0.116887,-0.190715,-0.049398,0.308841,1.36713
51,0.380366,0.162211,-0.0271409,-0.160355,-0.0383741,0.174157,1.22543
52,0.366996,0.100339,0.0785826,-0.0184138,0.0737856,0.100524,1.21707
53,0.432446,0.0955567,0.0441578,-0.15473,0.146538,0.141048,1.17142
54,0.365835,0.0590152,0.0201106,-0.32701,0.286255,0.0700455,1.28437
55,0.332736,0.148139,0.134515,-0.465065,0.216547,0.172516,1.36593
56,0.407052,0.0190637,0.192641,-0.345619,0.29111,0.18582,1.27691
57,0.39009,-0.130936,0.240948,-0.301569,0.132496,0.38582,1.31401
58,0.391858,-0.0906979,0.157235,-0.228326,0.0120325,0.331898,1.25908
59,0.42722,-0.196893,0.203695,-0.19059,0.0688255,0.151026,1.20495
60,0.340734,-0.0468933,0.32595,-0.0693227,0.0182463,0.317663,1.31436
61,0.356537,-0.157618,0.184559,-0.0344464,0.0749325,0.128716,1.24768
62,0.237896,-0.0655519,0.0345592,-0.0920638,0.0416083,0.201562,1.35386
63,0.225815,-0.0253285,0.0943346,0.0376893,0.160461,0.356748,1.40462
64,0.328628,-0.00995747,-0.0556654,0.176241,0.00461162,0.537752,1.36618
65,0.394247,0.0900535,-0.155718,0.0157676,-0.105228,0.337752,1.24178
