s,map,is_failed,is_success,iter,elapsed,f_err
0,299,0,1,73,7.68921,0.0982845
0,298,0,1,78,8.85684,0.0930656
0,297,0,1,72,8.14138,0.0949672
0,296,0,1,70,7.73695,0.0920672
0,295,0,1,70,7.40833,0.0738968
0,294,0,1,69,7.76401,0.0984023
0,293,0,1,72,7.61274,0.0667482
0,292,0,1,62,6.68462,0.0797975
0,291,0,1,49,6.87466,0.0813502
0,290,0,1,55,6.25725,0.0756751
0,289,0,1,52,6.03812,0.0954374
0,288,0,1,60,6.81502,0.094833
0,287,0,1,69,7.62199,0.0885897
0,286,0,1,75,7.83309,0.0738441
0,285,0,1,75,8.047,0.0642953
0,284,0,1,63,6.44792,0.0986338
0,283,0,1,55,5.69612,0.0391481
0,282,0,1,111,13.4084,0.0757666
0,281,0,1,70,8.08676,0.0529626
0,280,0,1,60,6.64048,0.0401681
0,279,0,1,68,6.75687,0.0344004
0,278,0,1,77,8.04763,0.0503314
0,277,0,1,57,5.5515,0.0962136
0,276,0,1,76,8.3044,0.0488872
0,275,0,1,61,6.46503,0.0977053
0,274,0,1,66,8.91577,0.0869903
0,273,0,1,79,8.93348,0.084367
0,272,1,0,22,2.08294,3.83621
0,271,0,1,87,10.2036,0.0597812
0,270,0,1,65,7.5785,0.0497486
0,269,0,1,65,7.36398,0.0806342
0,268,0,1,69,8.15327,0.0677383
0,267,0,1,65,7.62356,0.0864971
0,266,0,1,69,8.18581,0.0682802
0,265,0,1,74,8.2785,0.0820594
0,264,0,1,57,5.97155,0.0821714
0,263,0,1,54,5.88963,0.0555423
0,262,0,1,65,6.82299,0.0616937
0,261,0,1,83,9.666,0.0492945
0,260,0,1,57,5.80006,0.0572552
0,259,0,1,53,6.17647,0.0562953
0,258,0,1,79,9.40448,0.0529573
0,257,0,1,75,9.91301,0.0959897
0,256,0,1,61,6.82604,0.0309011
0,255,0,1,52,6.35069,0.0255909
0,254,0,1,46,5.29333,0.0804266
0,253,0,1,73,8.74282,0.0660528
0,252,0,1,63,8.13415,0.0962293
0,251,0,1,75,9.63946,0.097613
0,250,0,1,63,6.90176,0.0821715
0,249,0,1,70,7.52759,0.0610413
0,248,0,1,76,8.84343,0.0682627
0,247,0,1,60,7.23126,0.0961229
0,246,0,1,70,8.92498,0.0919689
0,245,0,1,68,7.97951,0.0683719
0,244,0,1,65,8.08495,0.0927363
0,243,0,1,50,5.61357,0.0982903
0,242,0,1,69,8.29504,0.0589154
0,241,0,1,60,6.3573,0.0492008
0,240,0,1,66,7.31588,0.0674012
0,239,0,1,62,7.77085,0.0806535
0,238,0,1,94,11.776,0.0901518
0,237,0,1,49,5.69428,0.096764
0,236,0,1,52,6.27939,0.0472711
0,235,0,1,63,7.24715,0.0742945
0,234,0,1,80,9.46722,0.0467285
0,233,0,1,54,8.35054,0.0831195
0,232,0,1,57,8.06472,0.0634856
0,231,0,1,62,9.68683,0.0801731
0,230,0,1,61,8.57934,0.0422837
0,229,0,1,69,7.63195,0.085456
0,228,0,1,73,8.68139,0.0550529
0,227,0,1,57,6.10527,0.0895198
0,226,0,1,64,7.90062,0.0970574
0,225,1,0,23,2.28816,4.48777
0,224,0,1,84,8.95832,0.079444
0,223,0,1,61,5.86516,0.0359518
0,222,0,1,71,8.18792,0.0617415
0,221,0,1,68,7.81694,0.0910127
0,220,0,1,56,6.22451,0.0996535
0,219,0,1,53,5.50571,0.0683943
0,218,0,1,65,7.87299,0.0788352
0,217,0,1,50,5.588,0.0250999
0,216,0,1,58,6.56658,0.0564892
0,215,0,1,74,8.50737,0.0999775
0,214,0,1,74,8.53845,0.0770321
0,213,0,1,78,9.11049,0.0880303
0,212,0,1,60,7.73798,0.0435098
0,211,0,1,68,7.29741,0.0556647
