s,map,is_failed,is_success,iter,elapsed,f_err
0,299,0,0,200,7.64728,0.4333
0,298,0,1,89,2.73535,0.0980645
0,297,0,1,90,3.05884,0.042473
0,296,0,1,104,3.44254,0.0728125
0,295,0,0,200,7.62351,0.181314
0,294,0,0,200,7.47898,1.90778
0,293,0,1,65,2.14248,0.0960516
0,292,0,1,97,3.57148,0.0799954
0,291,0,0,200,8.93904,0.171557
0,290,0,0,200,7.57568,0.48586
0,289,0,0,200,7.529,1.37192
0,288,0,1,131,4.86898,0.0900347
0,287,0,0,200,7.42445,0.15725
0,286,0,0,200,7.64252,1.89884
0,285,0,0,200,7.039,2.1448
0,284,0,0,200,7.77961,0.420572
0,283,0,0,200,7.32108,2.1241
0,282,0,0,200,7.71794,6.05459
0,281,0,0,200,7.64363,2.49129
0,280,0,0,200,7.18801,0.879806
0,279,0,0,200,7.83,1.02313
0,278,0,0,200,7.88084,0.639866
0,277,0,0,200,7.76811,0.985439
0,276,0,0,200,7.29226,1.88518
0,275,0,0,200,7.52963,1.63583
0,274,0,1,111,4.38091,0.0978752
0,273,0,0,200,7.32035,0.305192
0,272,0,1,184,7.21164,0.0949958
0,271,0,0,200,7.1444,7.45386
0,270,0,1,109,4.07328,0.0782569
0,269,0,0,200,7.34977,1.87021
0,268,0,0,200,7.17522,7.14646
0,267,0,0,200,7.46312,0.301914
0,266,0,1,163,6.46908,0.0738631
0,265,0,0,200,7.09532,4.2677
0,264,0,1,76,2.49139,0.0711758
0,263,0,1,90,3.11727,0.0737595
0,262,0,0,200,7.74815,1.6151
0,261,0,0,200,7.31314,1.34476
0,260,0,0,200,7.41236,1.13167
0,259,0,1,78,2.85864,0.0693724
0,258,0,0,200,8.09681,3.04092
0,257,0,1,134,5.35659,0.0823325
0,256,0,1,161,6.03002,0.0607775
0,255,0,0,200,7.51149,1.31898
0,254,0,0,200,8.06433,1.06076
0,253,0,0,200,7.68599,2.83516
0,252,0,0,200,8.1483,0.848988
0,251,0,0,200,8.1953,0.43064
0,250,0,0,200,7.0373,1.39888
0,249,0,0,200,7.87246,0.60528
0,248,0,0,200,6.85024,2.09184
0,247,0,0,200,8.06414,2.96482
0,246,0,1,136,5.17214,0.0601082
0,245,0,1,182,6.88997,0.0848576
0,244,0,0,200,7.29855,1.20014
0,243,0,1,48,1.72356,0.09032
0,242,0,0,200,7.48469,1.48262
0,241,0,0,200,7.78896,0.728888
0,240,0,0,200,7.79924,0.849726
0,239,0,1,89,3.4424,0.0970351
0,238,0,0,200,7.77406,1.21155
0,237,0,0,200,8.11883,5.44737
0,236,0,1,170,7.51528,0.0768499
0,235,0,0,200,7.63774,0.904944
0,234,0,0,200,7.52326,0.321301
0,233,0,0,200,7.7657,1.59782
0,232,0,1,172,6.38264,0.0999429
0,231,0,1,56,1.95101,0.0698617
0,230,0,0,200,7.74404,0.813521
0,229,0,0,200,7.3933,1.37817
0,228,0,1,106,4.10433,0.0809223
0,227,0,1,117,4.05232,0.069713
0,226,0,0,200,7.76322,2.52311
0,225,0,1,73,2.51614,0.0870429
0,224,0,1,187,6.81679,0.0736148
0,223,0,1,106,3.85495,0.0488845
0,222,0,0,200,7.18223,1.61995
0,221,0,0,200,7.89766,1.19216
0,220,0,0,200,7.89046,0.601497
0,219,0,1,119,4.40625,0.0866241
0,218,0,0,200,10.1738,0.472844
0,217,0,1,92,4.39559,0.0743034
0,216,0,0,200,8.04976,1.10019
0,215,0,1,75,2.55997,0.0969743
0,214,0,0,200,8.54534,0.848348
0,213,0,1,62,2.05972,0.0971197
0,212,0,1,60,2.19351,0.0549123
0,211,0,1,62,2.06029,0.0731237
0,210,0,0,200,6.60068,0.948013
0,209,0,0,200,8.05762,0.593513
0,208,0,1,91,3.31061,0.0934274
0,207,0,0,200,6.8047,3.73079
0,206,0,1,59,2.07745,0.0775574
0,205,0,1,171,6.54454,0.0954705
0,204,0,0,200,7.4845,1.0605
0,203,0,0,200,7.68497,0.852096
0,202,0,0,200,7.36176,1.64744
0,201,0,1,123,4.85522,0.0920482
0,200,0,0,200,7.70994,0.90223
0,199,0,1,99,3.78316,0.0943584
0,198,0,1,81,2.48642,0.0538094
0,197,0,0,200,7.96503,2.24492
0,196,0,1,139,4.89438,0.0972905
0,195,0,1,70,2.25502,0.0908461
0,194,0,0,200,7.71808,0.553317
0,193,0,0,200,7.1272,0.761623
0,192,0,1,65,2.19323,0.0820617
0,191,0,1,53,1.82255,0.0562184
0,190,0,0,200,7.46012,0.885319
0,189,0,0,200,7.24048,1.36586
0,188,0,1,103,3.76361,0.0678748
0,187,0,1,134,4.43825,0.0916458
0,186,0,0,200,7.5361,1.43172
0,185,0,1,88,2.83918,0.0709009
0,184,0,1,84,2.75937,0.0705732
0,183,0,1,97,3.58427,0.0813928
0,182,0,0,200,7.35549,3.37603
0,181,0,0,200,7.39438,1.14736
0,180,0,1,90,3.27306,0.0717945
0,179,0,0,200,7.97504,1.2598
0,178,0,0,200,7.85895,1.25454
0,177,0,1,151,6.2939,0.0856526
0,176,0,1,116,4.60501,0.0882977
0,175,0,1,100,3.64851,0.080889
0,174,0,0,200,7.89181,1.52511
0,173,0,1,121,4.59256,0.0588413
0,172,0,1,81,3.28332,0.0768499
0,171,0,1,161,6.25724,0.0902447
0,170,0,0,200,7.3529,1.19315
0,169,0,0,200,7.96242,0.829415
0,168,0,0,200,8.31999,1.3253
0,167,0,0,200,8.06753,1.07189
0,166,0,0,200,7.42217,2.53453
0,165,0,0,200,8.04016,0.791872
0,164,0,1,161,7.17187,0.0452615
0,163,0,0,200,8.2897,0.495966
0,162,0,0,200,7.71267,1.84818
0,161,0,0,200,8.24494,1.60704
0,160,0,1,81,2.84954,0.0555035
0,159,0,0,200,8.55176,0.312641
