s,map,is_failed,is_success,iter,elapsed,f_err
0,299,0,1,113,2.46574,0.0834286
0,298,0,1,77,1.68406,0.0857371
0,297,0,0,200,4.31964,0.288515
0,296,0,0,200,4.31534,1.76991
0,295,0,1,121,2.63354,0.0963644
0,294,0,0,200,4.28373,1.26474
0,293,0,1,86,1.84625,0.0810684
0,292,0,0,200,4.26499,1.47867
0,291,0,1,95,2.05476,0.0847453
0,290,0,1,135,2.89702,0.080119
0,289,0,0,200,4.25206,1.82138
0,288,0,1,193,4.12682,0.0515918
0,287,0,0,200,4.26092,1.38786
0,286,0,0,200,4.30878,3.12885
0,285,0,0,200,4.31556,1.31512
0,284,0,0,200,4.3215,0.727761
0,283,0,0,200,4.29695,1.42875
0,282,0,0,200,4.30048,0.670478
0,281,0,0,200,4.54422,1.93275
0,280,0,1,107,2.29309,0.0847731
0,279,0,0,200,4.25281,0.442695
0,278,0,0,200,4.53712,1.86319
0,277,0,0,200,4.26673,1.71465
0,276,0,0,200,4.25523,0.1479
0,275,0,1,63,1.43717,0.0997825
0,274,0,1,162,3.46707,0.0967945
0,273,0,0,200,4.24556,1.2732
0,272,0,0,200,4.52791,0.578911
0,271,0,0,200,4.25955,0.227086
0,270,0,0,200,4.26472,2.4509
0,269,0,0,200,4.56659,0.416984
0,268,0,1,174,3.71855,0.0745052
0,267,0,0,200,4.24875,2.3764
0,266,0,0,200,4.55195,1.66791
0,265,0,0,200,4.24389,0.483752
0,264,0,1,119,2.55296,0.0938524
0,263,0,0,200,4.54797,9.52344
0,262,0,0,200,4.25209,0.926255
0,261,0,0,200,4.33051,2.20475
0,260,0,0,200,4.61356,0.469771
0,259,0,0,200,4.29216,0.14111
0,258,0,0,200,4.2618,0.2904
0,257,0,1,190,4.34651,0.0453938
0,256,0,1,84,1.80182,0.0971188
0,255,0,0,200,4.25514,1.41444
0,254,0,0,200,4.26808,0.167621
0,253,0,0,200,4.25163,0.932199
0,252,0,0,200,4.26992,0.893461
0,251,0,0,200,4.54414,1.08991
0,250,0,0,200,4.24137,1.23612
0,249,0,1,51,1.11509,0.0986169
0,248,0,0,200,4.26416,1.44742
0,247,0,1,79,1.7085,0.053604
0,246,0,0,200,4.26132,3.09918
0,245,0,0,200,4.56097,8.00899
0,244,0,1,195,4.17379,0.0953631
0,243,0,0,200,4.27242,0.60727
0,242,0,0,200,4.24933,0.564968
0,241,0,1,68,1.45967,0.0816934
0,240,0,0,200,4.27746,0.5653
0,239,0,0,200,4.25946,3.42559
0,238,0,0,200,4.25539,0.506307
0,237,0,0,200,4.26934,2.50574
0,236,0,0,200,4.25307,3.62038
0,235,0,1,146,3.12741,0.0623458
0,234,0,0,200,4.25656,0.924221
0,233,0,1,108,2.33351,0.0769897
0,232,0,0,200,4.26203,0.390097
0,231,0,1,61,1.31458,0.080998
0,230,0,0,200,4.25786,4.32314
0,229,0,0,200,4.25274,1.71858
0,228,0,0,200,4.26326,1.94644
0,227,0,0,200,4.26062,0.918823
0,226,0,1,116,2.48533,0.0929974
0,225,0,0,200,4.25671,1.72694
0,224,0,0,200,4.26903,0.795239
0,223,0,1,67,1.44593,0.0947521
0,222,0,0,200,4.25176,3.46316
0,221,0,0,200,4.54869,2.26309
0,220,0,1,136,2.93452,0.0876959
0,219,0,0,200,4.35233,2.33097
0,218,0,0,200,4.63148,2.31053
0,217,0,0,200,4.35574,2.22784
0,216,0,0,200,4.26294,0.653642
0,215,0,0,200,4.26627,0.55038
0,214,0,0,200,4.27042,1.19843
0,213,0,0,200,4.266,0.965331
0,212,0,0,200,4.29125,1.5267
0,211,0,0,200,4.31524,1.04232
0,210,0,0,200,4.32564,0.539831
0,209,0,0,200,4.31617,0.84651
0,208,0,1,65,1.42264,0.094323
0,207,0,0,200,4.30297,0.791278
0,206,0,0,200,4.60837,1.50467
0,205,0,1,78,1.70272,0.0738136
0,204,0,1,108,2.34312,0.0651496
0,203,0,0,200,4.54134,2.24039
0,202,0,0,200,4.2635,1.28032
0,201,0,0,200,4.26348,2.51793
0,200,0,1,70,1.50694,0.0978989
0,199,0,0,200,4.26047,1.61905
0,198,0,0,200,4.26419,2.4797
0,197,0,0,200,4.26302,1.61706
0,196,0,0,200,4.26429,0.832594
0,195,0,0,200,4.25791,0.363612
0,194,0,0,200,4.2598,0.406538
0,193,0,0,200,4.26646,1.09541
0,192,0,0,200,4.24587,2.09183
0,191,0,0,200,4.25881,2.31787
0,190,0,0,200,4.25924,0.275634
0,189,0,0,200,4.25639,3.89724
0,188,0,0,200,4.26936,1.46497
0,187,0,0,200,4.25687,1.42924
0,186,0,1,91,1.9548,0.0880525
0,185,0,1,94,2.01571,0.0852954
0,184,0,0,200,4.25337,1.40706
0,183,0,0,200,4.25409,0.439406
0,182,0,1,135,2.89186,0.0413305
0,181,0,1,76,1.63195,0.0994366
0,180,0,1,89,1.91573,0.0816108
0,179,0,1,73,1.57673,0.0850264
0,178,0,0,200,4.26046,3.53764
0,177,0,0,200,4.26671,1.32021
0,176,0,0,200,4.25679,2.01171
0,175,0,1,108,2.31382,0.0678106
0,174,0,0,200,4.27058,1.64886
0,173,0,0,200,4.26827,1.40182
0,172,0,1,164,3.50456,0.0912735
0,171,0,0,200,4.2701,1.74644
0,170,0,0,200,4.25397,2.81785
0,169,0,0,200,4.25885,1.07261
0,168,0,0,200,4.25789,1.10701
0,167,0,1,104,2.23021,0.0526527
0,166,0,1,74,1.59562,0.05586
0,165,0,0,200,4.2586,0.192713
0,164,0,1,128,2.92122,0.0917605
0,163,0,1,174,3.72615,0.043205
0,162,0,0,200,4.27013,3.52276
0,161,0,0,200,4.54519,1.01238
0,160,0,0,200,4.3988,0.892977
0,159,0,0,200,4.5077,0.274683
0,158,0,0,200,4.6348,0.771716
0,157,0,0,200,4.32255,2.15465
0,156,0,0,200,4.3339,1.82716
0,155,0,0,200,4.26969,1.58642
0,154,0,0,200,4.25427,1.98515
0,153,0,0,200,4.26361,2.65236
0,152,0,0,200,4.26705,2.54022
0,151,0,1,139,2.98591,0.0442192
0,150,0,1,63,1.35703,0.0971624
0,149,0,1,93,2.01083,0.0951178
0,148,0,1,145,3.11518,0.096799
0,147,0,0,200,4.27394,0.539865
0,146,0,1,71,1.63606,0.095434
0,145,0,0,200,4.2594,0.309682
0,144,0,0,200,4.25121,2.85772
0,143,0,1,53,1.14332,0.0956654
0,142,0,0,200,4.25782,1.64447
0,141,0,1,96,2.06132,0.093743
0,140,0,1,135,2.94229,0.0673619
0,139,0,0,200,4.25604,3.53892
0,138,0,0,200,4.27037,2.71017
0,137,0,1,80,1.83633,0.0876431
0,136,0,1,144,3.09779,0.0642727
0,135,0,0,200,4.25136,1.0619
0,134,0,0,200,4.56351,0.732479
0,133,0,0,200,4.32178,1.72617
0,132,0,0,200,4.294,0.799142
0,131,0,0,200,4.56371,1.24921
0,130,0,0,200,4.58874,0.699886
0,129,0,1,95,2.80915,0.0845666
0,128,0,1,64,1.86878,0.0982249
0,127,0,1,128,3.50725,0.0707937
0,126,0,0,200,4.60706,1.98018
0,125,0,1,169,3.91776,0.0930962
0,124,0,1,115,2.82055,0.0881969
0,123,0,1,168,3.8386,0.0726896
0,122,0,0,200,4.44222,1.47816
0,121,0,0,200,4.42572,2.60915
0,120,0,0,200,4.56946,1.84972
0,119,0,0,200,4.44818,6.6354
0,118,0,1,117,2.60028,0.0929079
0,117,0,0,200,4.51703,0.270245
0,116,0,0,200,4.46196,1.33871
0,115,0,0,200,4.48351,2.25766
0,114,0,0,200,4.74952,0.248087
