s,map,is_failed,is_success,iter,elapsed,f_err
0,299,0,0,200,2.56003,0.926931
0,298,0,1,65,0.832923,0.0852692
0,297,0,0,200,2.55948,1.20998
0,296,0,1,95,1.41508,0.0713928
0,295,0,1,81,1.07242,0.0872203
0,294,0,0,200,2.69272,0.247884
0,293,0,0,200,2.58254,1.01085
0,292,0,1,174,2.23516,0.0839017
0,291,0,0,200,3.94096,1.11421
0,290,0,1,91,2.02063,0.0767972
0,289,0,1,65,1.3942,0.0697576
0,288,0,1,63,1.24847,0.0565918
0,287,0,1,79,1.45292,0.081004
0,286,0,1,70,0.993247,0.0815062
0,285,0,1,67,0.988235,0.0878266
0,284,0,0,200,3.118,0.674097
0,283,0,0,200,2.70853,5.21124
0,282,0,1,98,1.43013,0.0703794
0,281,0,0,200,2.87716,6.31898
0,280,0,1,53,0.826285,0.0473703
0,279,0,0,200,3.03954,1.59406
0,278,0,1,59,0.762964,0.0986472
0,277,0,0,200,2.59023,0.693665
0,276,0,1,141,1.8622,0.0966922
0,275,0,1,127,1.64912,0.060515
0,274,0,1,87,1.137,0.0991364
0,273,0,1,181,2.34893,0.0659765
0,272,0,1,58,0.769527,0.0964268
0,271,0,1,133,1.74549,0.0427908
0,270,0,0,200,2.6156,0.476863
0,269,0,0,200,2.6011,1.77677
0,268,0,0,200,2.57047,1.60493
0,267,0,1,179,2.33344,0.0984001
0,266,0,0,200,2.63888,1.89781
0,265,0,0,200,2.58985,6.64217
0,264,0,0,200,2.5879,6.44475
0,263,0,1,79,1.03056,0.0731528
0,262,0,0,200,2.62307,7.79421
0,261,0,1,108,1.44311,0.0414149
0,260,0,0,200,2.63618,1.86641
0,259,0,0,200,2.62429,2.75807
0,258,0,1,95,1.25424,0.0403764
0,257,0,1,110,1.4308,0.0877955
0,256,0,0,200,2.63827,1.08233
0,255,0,1,150,1.98571,0.0852826
0,254,0,1,90,1.19576,0.0969715
0,253,0,0,200,2.6452,3.19121
0,252,0,0,200,2.6472,0.540561
0,251,0,1,65,0.854767,0.0952211
0,250,0,0,200,2.58983,7.22322
0,249,0,0,200,2.60226,2.99467
0,248,0,0,200,2.6062,6.71554
0,247,0,0,200,2.59827,1.91909
0,246,0,0,200,2.57114,1.87738
0,245,0,1,69,0.88946,0.0637185
0,244,0,1,67,0.86696,0.0696613
0,243,0,1,101,1.30804,0.0805912
0,242,0,1,195,2.54314,0.0841017
0,241,0,1,146,1.88923,0.0835858
0,240,0,1,91,1.18751,0.045351
0,239,0,1,162,2.10411,0.084571
0,238,0,1,76,0.973427,0.078578
0,237,0,1,54,0.698602,0.0807476
0,236,0,0,200,2.57811,0.823554
0,235,0,0,200,2.62536,1.90754
0,234,0,0,200,2.62076,0.997985
0,233,0,1,129,1.67749,0.054751
0,232,0,1,129,1.6875,0.0597795
0,231,0,1,173,2.28337,0.0741814
0,230,0,0,200,2.58259,0.989087
0,229,0,0,200,2.58361,0.674421
0,228,0,1,97,1.28378,0.0733453
0,227,0,0,200,2.59653,0.891584
0,226,0,0,200,2.58598,1.35795
0,225,0,1,80,1.02115,0.0965074
0,224,0,0,200,2.61593,0.608034
0,223,0,1,91,1.19907,0.0669012
0,222,0,1,56,0.711297,0.0952134
0,221,0,1,90,1.15939,0.0684551
0,220,0,1,58,0.747058,0.0892408
0,219,0,0,200,2.63599,5.34656
0,218,0,1,63,0.851946,0.0485142
0,217,0,1,178,2.30563,0.0648347
0,216,0,1,53,0.689918,0.0696873
0,215,0,0,200,2.5744,1.16213
0,214,0,1,142,1.84679,0.0688309
0,213,0,0,200,2.55976,0.914072
0,212,0,0,200,2.61038,0.753438
0,211,0,0,200,2.58573,1.17602
0,210,0,1,88,1.13589,0.0804482
0,209,0,0,200,2.62324,0.762592
0,208,0,1,86,1.13496,0.0903295
0,207,0,0,200,2.60653,2.98149
0,206,0,0,200,2.58847,1.40538
0,205,0,1,88,1.17436,0.0955782
0,204,0,0,200,2.61677,1.07358
0,203,0,0,200,2.65661,1.57914
0,202,0,0,200,2.62976,1.41063
0,201,0,1,168,2.23301,0.0754414
0,200,0,0,200,2.59641,0.718951
0,199,0,1,189,2.4906,0.0548218
0,198,0,1,44,0.582361,0.0776315
0,197,0,0,200,2.63564,1.01872
0,196,0,1,104,1.37882,0.099876
0,195,0,0,200,2.61015,0.95633
0,194,0,0,200,2.58846,0.949562
0,193,0,0,200,2.58026,1.79761
0,192,0,0,200,2.59971,1.84145
0,191,0,0,200,2.58453,0.658482
0,190,0,1,80,1.06311,0.0913117
0,189,0,1,89,1.14619,0.0900466
0,188,0,1,64,0.824415,0.0861388
0,187,0,0,200,2.61224,0.296786
0,186,0,1,155,2.06331,0.0974635
0,185,0,0,200,2.63317,0.917488
0,184,0,0,200,2.63566,0.698365
0,183,0,1,92,1.21572,0.083185
