iter,x,y,theta,v
0,0.5,0,1.5708,0.147104
1,0.5,0.0147104,1.64435,0.249063
2,0.49817,0.0395493,1.76888,0.518409
3,0.487968,0.0903765,2.02087,0.498263
4,0.466292,0.135241,2.27001,0.38163
5,0.44173,0.164449,2.46072,0.172627
6,0.428316,0.175315,2.54695,-0.127344
7,0.438865,0.168181,2.56778,-0.413838
8,0.47362,0.145717,2.77469,-0.474824
9,0.517943,0.128684,2.59896,-0.510587
10,0.561667,0.102317,2.55634,-0.658783
11,0.616581,0.0659251,2.88572,-0.763384
12,0.690434,0.046605,3.1602,-0.586517
13,0.749075,0.0476965,3.20713,-0.744046
14,0.82332,0.052569,3.37549,-0.941394
15,0.914896,0.074388,3.84619,-1.23317
16,1.00885,0.154264,3.2296,-1.37635
17,1.14595,0.166362,3.54091,-1.5785
18,1.29138,0.227732,3.17631,-1.28141
19,1.41945,0.23218,3.81099,-1.41021
20,1.53003,0.319685,3.38908,-1.60086
21,1.68524,0.358902,3.93081,-1.38853
22,1.78305,0.45746,3.23655,-1.49104
23,1.93148,0.471597,2.84992,-1.47874
24,2.07311,0.429075,2.99793,-1.23888
25,2.19572,0.411337,3.61737,-1.0418
26,2.28833,0.459054,3.09647,-0.797046
27,2.36796,0.455459,2.98258,-0.789522
28,2.44591,0.442957,3.03811,-0.881663
29,2.53361,0.433849,2.90447,-0.711824
30,2.6028,0.417128,2.88677,-0.479429
31,2.64919,0.405043,3.1263,-0.247085
32,2.6739,0.404665,3.12715,-0.0686131
