iter,x,y,theta,v
0,0.5,0,1.5708,0.0856906
1,0.5,0.00856906,1.55619,0.134571
2,0.500196,0.0220247,1.50185,0.129317
3,0.501087,0.0349256,1.4372,0.190368
4,0.503623,0.0537928,1.39677,0.167759
5,0.506528,0.0703153,1.34631,0.467759
6,0.516941,0.115918,1.53899,0.767719
7,0.519382,0.192651,1.92285,0.633382
8,0.497541,0.252104,2.23954,0.429116
9,0.470936,0.285773,2.4541,0.129134
10,0.460956,0.293967,2.46945,-0.170866
11,0.474326,0.283328,2.55488,-0.30441
12,0.499676,0.266475,2.56523,-0.604358
13,0.550349,0.233539,2.5026,-0.869799
14,0.620167,0.181665,2.9375,-1.09442
15,0.727338,0.159483,2.88915,-1.39442
16,0.86236,0.124655,2.81991,-1.61802
17,1.01586,0.073499,3.62892,-1.38098
18,1.13788,0.138165,2.93842,-1.58838
19,1.29346,0.106116,3.73261,-1.59551
20,1.42594,0.195019,2.93486,-1.67285
21,1.58967,0.160681,3.48644,-1.37285
22,1.71887,0.207091,2.80002,-1.43812
23,1.85437,0.158918,3.47578,-1.23457
24,1.971,0.199412,4.09306,-1.19409
25,2.04032,0.296643,3.57269,-0.937602
26,2.1255,0.335823,3.32549,-0.637602
27,2.18818,0.347482,3.19077,-0.741433
28,2.26224,0.351126,3.44227,-0.783206
29,2.33704,0.374322,3.17405,-0.542686
30,2.39128,0.376083,2.90541,-0.34112
31,2.42445,0.368101,3.0027,-0.430644
32,2.4671,0.362139,3.10751,-0.439502
33,2.51102,0.360641,3.25984,-0.360112
34,2.54678,0.36489,3.365,-0.228219
35,2.56904,0.369946,3.43492,-0.339538
36,2.60154,0.379763,3.54563,-0.0552254
37,2.60662,0.381934,3.54029,-0.199578
38,2.62501,0.389682,3.48035,-0.388653
39,2.66167,0.402598,3.28604,-0.177244
40,2.67921,0.405149,3.26085,-0.123054
41,2.69142,0.406613,3.29598,-0.145395
42,2.70579,0.408849,3.27342,0.104069
43,2.69547,0.407481,3.22239,0.227439
44,2.67281,0.405646,3.19228,0.0527908
