iter,x,y,theta,v
0,0.5,0,1.5708,0.108729
1,0.5,0.0108729,1.5686,0.107877
2,0.500024,0.0216605,1.51466,0.198691
3,0.501138,0.0414984,1.56908,0.439998
4,0.501214,0.0854981,1.71894,0.718152
5,0.490614,0.156527,1.35987,0.594206
6,0.503055,0.21463,1.33205,0.789902
7,0.521735,0.29138,0.937101,0.861783
8,0.572763,0.360826,0.506209,0.747097
9,0.638103,0.397051,0.132661,0.777452
10,0.715166,0.407334,0.169682,0.666641
11,0.780872,0.418592,0.446707,0.928906
12,0.864648,0.45872,-0.0165875,0.787091
13,0.943346,0.457415,-0.0696105,0.812928
14,1.02444,0.45176,-0.439928,0.722934
15,1.08985,0.420972,-0.0784609,0.872713
16,1.17685,0.414132,-0.444984,0.995345
17,1.2667,0.371288,-0.349604,1.02315
18,1.36282,0.336243,0.161971,1.08011
19,1.46942,0.353661,-0.0785677,0.856408
20,1.5548,0.346939,0.349636,1.15641
21,1.66344,0.386553,-0.228568,1.31142
22,1.79117,0.356838,0.368781,1.46801
23,1.9281,0.409757,-0.362604,1.26568
24,2.04644,0.364862,-0.0142926,1.38193
25,2.18462,0.362887,-0.141971,1.4627
26,2.32942,0.34219,0.548267,1.18457
27,2.43051,0.403931,0.24301,1.29656
28,2.55636,0.43513,-0.148924,1.06852
29,2.66203,0.419275,0.385338,0.904881
30,2.74588,0.453287,0.104274,0.636604
31,2.8092,0.459914,0.0935313,0.393267
32,2.84835,0.463586,-0.103064,0.143158
33,2.86259,0.462114,-0.142885,0.112644
34,2.87374,0.46051,-0.0865671,-0.187217
35,2.85509,0.462128,-0.000734346,-0.487217
36,2.80637,0.462164,0.226613,-0.396515
37,2.76773,0.453255,0.120778,-0.457242
38,2.72234,0.447746,0.184958,-0.15743
39,2.70686,0.444851,0.108825,-0.130022
40,2.69394,0.443439,0.133323,0.162892
41,2.71008,0.445604,0.155985,-0.0411845
42,2.70602,0.444964,0.164681,0.0826623
43,2.71417,0.446319,0.159337,0.0523323
44,2.71934,0.44715,0.16392,-0.247587
45,2.69491,0.443109,0.185539,0.014831
46,2.69637,0.443383,0.190086,0.215628
47,2.71754,0.447457,0.0915307,0.198943
48,2.73735,0.449276,-0.00792983,0.00806949
49,2.73816,0.449269,-0.00389508,0.111731
50,2.74933,0.449226,0.0497675,0.0161267
51,2.75094,0.449306,0.0460705,-0.10059
52,2.7409,0.448843,0.0960326,-0.17844
53,2.72313,0.447132,0.0243842,-0.1645
54,2.70669,0.44673,0.012442,0.1355
55,2.72024,0.446899,0.0176129,0.234016
