iter,x,y,theta,v
0,0.5,0,1.5708,0.0215159
1,0.5,0.00215159,1.57011,0.152931
2,0.500011,0.0174447,1.54283,0.258862
3,0.500734,0.0433208,1.4134,0.345473
4,0.50615,0.077441,1.24066,0.38288
5,0.518562,0.113661,1.22485,0.368978
6,0.531073,0.148373,1.10729,0.550902
7,0.555703,0.197651,0.963728,0.742912
8,0.598084,0.258668,0.592272,0.928472
9,0.675117,0.3105,0.556333,0.946999
10,0.755536,0.360509,0.803929,0.825702
11,0.81283,0.419966,0.797987,1.08986
12,0.888918,0.497995,0.442326,1.06708
13,0.985357,0.543671,0.217112,1.32038
14,1.1143,0.572113,0.185565,1.19968
15,1.2322,0.594248,-0.414277,1.2689
16,1.34836,0.543171,0.220176,1.09659
17,1.45537,0.56712,0.428558,0.943404
18,1.54118,0.606324,0.57233,1.09352
19,1.63311,0.665548,0.106058,1.19796
20,1.75223,0.67823,-0.482892,0.98995
21,1.8399,0.632262,0.012083,0.727448
22,1.91264,0.633141,-0.351641,0.601703
23,1.96913,0.612416,-0.585116,0.524378
24,2.01285,0.583455,-0.572978,0.777985
25,2.07822,0.541278,-0.466416,1.0578
26,2.1727,0.49371,-0.0240494,0.759325
27,2.24861,0.491884,-0.403707,0.764845
28,2.31895,0.461838,-0.397877,0.566675
29,2.37119,0.439882,-0.232623,0.449356
30,2.41491,0.429523,-0.238969,0.582125
31,2.47147,0.415744,-0.373023,0.605618
32,2.52787,0.393673,-0.130171,0.607219
33,2.58808,0.385791,-0.236125,0.367336
34,2.62379,0.377198,-0.20746,0.151464
35,2.63861,0.374078,-0.254609,0.209901
36,2.65893,0.368792,-0.243986,0.392269
37,2.69699,0.359315,-0.435731,0.167167
38,2.71215,0.35226,-0.473009,0.0900303
39,2.72016,0.348158,-0.515467,-0.100679
40,2.7114,0.353121,-0.563094,0.198894
41,2.72822,0.342504,-0.579701,0.161007
42,2.74169,0.333685,-0.568953,0.189249
43,2.75763,0.323489,-0.551338,0.103114
44,2.76642,0.318087,-0.49981,-0.111717
45,2.75661,0.323442,-0.511806,-0.103755
46,2.74757,0.328523,-0.482434,-0.331028
47,2.71824,0.343881,-0.504961,-0.324285
48,2.68986,0.359569,-0.503903,-0.141163
49,2.6775,0.366385,-0.434235,0.0391613
50,2.68105,0.364737,-0.419684,-0.223561
51,2.66064,0.373846,-0.307903,-0.0358981
52,2.65721,0.374934,-0.323202,0.25085
53,2.681,0.366967,-0.446565,0.195948
54,2.69867,0.358505,-0.409117,0.292073
55,2.72547,0.346886,-0.298273,0.0192929
56,2.72732,0.346319,-0.288715,0.0668954
57,2.73373,0.344415,-0.255341,-0.233082
58,2.71118,0.350302,-0.210194,-0.498058
59,2.66247,0.360694,0.00769798,-0.401743
60,2.62229,0.360384,-0.0503695,-0.279469
61,2.59438,0.361791,0.089365,-0.273668
62,2.56712,0.359349,0.102804,-0.055217
63,2.56163,0.358782,0.110288,0.148864
64,2.57643,0.360421,0.0378618,0.448864
65,2.62128,0.36212,0.24467,0.377481
66,2.65791,0.371264,0.433407,0.231828
67,2.67894,0.381,0.384196,0.11635
68,2.68973,0.385361,0.411273,-0.0999284
69,2.68057,0.381366,0.461237,-0.1594
70,2.6663,0.374272,0.38157,-0.342858
