iter,x,y,theta,v
0,0.5,0,1.5708,0.237233
1,0.5,0.0237233,1.67267,0.230822
2,0.497653,0.0466858,1.70563,0.258234
3,0.494181,0.0722748,1.80736,0.238469
4,0.488592,0.0954576,1.69519,0.177446
5,0.486391,0.113065,1.64554,0.201378
6,0.484887,0.133147,1.58716,0.0138685
7,0.484864,0.134533,1.59399,0.10732
8,0.484615,0.145262,1.58156,0.0819659
9,0.484527,0.153459,1.62255,0.0549181
10,0.484243,0.158943,1.61142,0.102924
11,0.483825,0.169227,1.615,-0.0119303
12,0.483878,0.168035,1.62097,0.288018
13,0.482433,0.196801,1.4955,0.259961
14,0.484389,0.222723,1.36552,0.500282
15,0.494586,0.271701,1.44964,0.438554
16,0.499887,0.315235,1.41423,0.345434
17,0.505273,0.349356,1.24151,0.430199
18,0.519184,0.390064,1.17548,0.513767
19,0.53897,0.437479,1.2523,0.218048
20,0.545797,0.458187,1.36132,0.48905
21,0.555967,0.506023,1.59627,0.618636
22,0.554391,0.567866,1.81982,0.531795
23,0.541285,0.619405,2.00502,0.259548
24,0.530365,0.642951,2.05402,0.029004
25,0.529018,0.64552,2.04405,0.0736144
26,0.525662,0.652072,2.0418,0.0917427
27,0.521499,0.660247,2.01637,-0.115217
28,0.526465,0.649851,1.96196,-0.409198
29,0.542066,0.612022,2.05452,-0.590898
30,0.569547,0.559711,2.12092,-0.887581
31,0.615949,0.484049,2.10077,-0.949016
32,0.663923,0.402165,2.57527,-1.20996
33,0.766029,0.337247,3.18026,-1.17502
34,0.883444,0.341789,3.04218,-1.16745
35,0.999613,0.330203,2.83858,-1.21249
36,1.11534,0.294023,3.44483,-1.29475
37,1.23891,0.332686,4.06983,-1.59475
38,1.33447,0.460356,3.27263,-1.29475
39,1.46284,0.477273,3.91998,-0.994757
40,1.53367,0.547118,3.50797,-1.13455
41,1.63959,0.587762,3.33345,-0.834546
42,1.72152,0.603676,3.4253,-0.731291
43,1.79172,0.624146,3.07493,-0.431309
44,1.83476,0.621273,2.85928,-0.465766
45,1.87949,0.608297,3.09215,-0.649577
46,1.94437,0.605087,3.12071,-0.840105
47,2.02836,0.603333,3.00268,-0.934206
48,2.12088,0.590397,2.536,-0.676969
49,2.17654,0.551861,2.87449,-0.486105
50,2.22343,0.539031,2.76141,-0.639585
51,2.28282,0.515296,2.44162,-0.811694
52,2.3449,0.463007,2.45051,-0.780951
53,2.40508,0.413231,2.82026,-0.762905
54,2.47746,0.389137,2.82431,-0.478654
55,2.52294,0.374203,2.94588,-0.451592
56,2.56724,0.365422,3.08932,-0.487479
57,2.61592,0.362875,3.2876,-0.187479
58,2.63447,0.365602,3.20057,-0.224396
59,2.65687,0.366925,3.20838,-0.256876
60,2.6825,0.368639,3.08054,-0.121867
61,2.69466,0.367896,3.0196,0.141188
62,2.68065,0.369614,3.03509,-0.156855
63,2.69624,0.367946,3.09026,-0.00811501
