map,is_failed,is_landed,iter,elapsed,f_err
299,0,1,46,2.06264,0.157467
298,0,1,34,1.53249,0.7565
297,0,1,26,1.17899,1.39568
296,0,1,24,1.07913,0.539559
295,0,1,28,1.2434,1.0931
294,0,1,25,1.12629,0.61499
293,0,1,44,1.94072,0.71885
292,0,1,35,1.56838,0.718251
291,0,1,27,1.26795,0.211552
290,0,1,40,1.78638,0.134727
289,0,1,45,1.99577,0.913688
288,0,1,31,1.39292,0.23724
287,0,1,63,2.76837,0.159116
286,0,1,36,1.58731,0.305764
285,1,0,22,0.979925,2.63653
284,0,1,43,1.91484,0.0604807
283,0,1,31,1.38471,0.725789
282,0,1,47,2.08534,0.609487
281,1,0,18,0.817669,3.49655
280,0,1,30,1.32537,2.74486
279,0,1,56,2.49516,0.438699
278,0,1,34,1.50128,0.0677229
277,0,1,76,3.35688,0.358159
276,0,1,38,1.66146,3.86211
275,0,1,32,1.42595,0.576728
274,0,1,30,1.35871,0.135132
273,0,1,38,1.66692,0.333441
272,0,1,44,1.95386,0.31138
271,0,1,86,3.79035,0.257949
270,0,1,30,1.33819,0.556575
269,0,1,28,1.25881,0.861194
268,0,1,42,1.86464,0.113203
267,0,1,33,1.46423,0.882684
266,0,1,36,1.61641,0.475796
265,0,1,24,1.06992,4.43521
264,0,1,30,1.32829,0.789486
263,0,1,25,1.12414,0.365033
262,0,1,32,1.42482,0.211737
261,0,1,30,1.34464,0.449833
260,0,1,28,1.25412,0.186077
259,0,1,26,1.18421,0.172058
258,0,1,26,1.18081,0.826423
257,0,1,30,1.36237,0.198578
256,0,1,59,2.62184,0.191705
255,0,1,52,2.31369,0.18577
254,0,1,40,1.78027,0.383839
253,0,1,41,1.82652,0.316455
252,0,1,38,1.71676,0.285582
251,0,1,27,1.21938,0.476025
250,0,1,25,1.13347,0.775229
249,0,1,36,1.60866,0.259286
248,0,1,39,1.74048,0.472195
247,0,1,47,2.11927,0.294565
246,0,1,40,1.7875,0.534697
245,0,1,33,1.47457,0.145589
244,0,1,30,1.33549,0.26673
243,0,1,120,5.35897,0.0362218
242,0,1,41,1.81195,0.161552
241,0,1,64,2.83745,0.753976
240,0,1,31,1.39235,0.770779
239,0,1,26,1.19311,0.859723
238,0,1,35,1.58286,1.35277
237,0,1,26,1.17004,0.94381
236,0,1,26,1.19195,0.839383
235,0,1,33,1.4593,0.17655
234,0,1,30,1.35792,0.220236
233,0,1,25,1.16401,0.678002
232,0,1,34,1.52319,0.391768
231,0,1,37,1.68163,0.370977
230,0,1,24,1.07186,1.4893
229,0,1,31,1.39748,0.180707
228,0,1,37,1.6577,0.205031
227,0,1,44,1.95979,0.268578
226,0,1,28,1.28013,0.12007
225,0,1,51,2.28237,0.618412
224,0,1,29,1.29876,0.485401
223,0,1,30,1.3511,0.274031
222,0,1,50,2.22738,0.417509
221,0,1,27,1.2246,0.49926
220,0,1,44,1.97125,0.288658
219,0,1,61,2.70267,0.0623354
218,0,1,26,1.17997,0.829662
217,0,1,28,1.24763,1.00644
216,0,1,35,1.56553,0.206303
215,0,1,43,1.90939,0.46814
214,0,1,38,1.72941,0.34192
213,0,1,38,1.69656,0.214227
212,0,1,52,2.38662,0.737201
211,0,1,31,1.38862,0.457676
210,0,1,29,1.29296,0.393085
209,0,1,34,1.56349,0.178914
208,0,1,41,1.85,0.610956
207,0,1,36,1.60603,0.695328
206,0,1,27,1.22466,0.224811
205,0,1,26,1.16252,0.726047
204,0,1,35,1.54311,1.59141
203,0,1,42,1.8627,0.190015
202,0,1,30,1.34572,0.188731
201,0,1,30,1.36247,0.127718
200,0,1,129,5.66324,0.228281
199,1,0,16,0.724758,2.89882
198,0,1,39,1.74314,0.225563
197,0,1,28,1.26876,0.495166
196,0,1,29,1.30455,0.577402
195,0,1,27,1.23547,0.223997
194,0,1,48,2.12648,0.584483
193,0,1,33,1.45875,1.31983
192,0,1,24,1.08283,0.858943
191,0,1,26,1.17969,0.766827
190,0,1,35,1.56808,0.340014
189,0,1,35,1.59543,0.152086
188,0,1,34,1.5064,0.0981128
187,0,1,39,1.74758,0.00601943
186,0,1,39,1.7314,1.18946
185,0,1,23,1.04185,1.41603
184,0,1,37,1.64977,0.0392191
183,0,1,31,1.36521,2.11385
182,0,1,82,3.61437,0.159168
181,0,1,56,2.46909,0.0663445
180,0,1,47,2.07075,0.342321
179,0,1,49,2.17462,0.194449
178,0,1,37,1.64735,0.745047
177,0,1,22,0.995402,1.59437
176,0,1,39,1.75959,0.809443
175,0,1,39,1.7315,0.696688
174,0,1,38,1.69448,0.386342
173,0,1,27,1.2169,0.693584
172,0,1,32,1.46564,0.234289
171,0,1,29,1.28054,2.35202
170,0,1,31,1.37659,0.53214
169,0,1,27,1.22965,0.404158
168,0,1,45,1.98041,0.0353326
167,0,1,22,1.01488,0.95846
166,0,1,47,2.10147,0.247876
165,0,1,48,2.13422,0.358822
164,0,1,28,1.27037,0.264296
163,0,1,31,1.39531,0.20601
162,0,1,35,1.55819,0.325114
161,0,1,52,2.36518,0.572
160,0,1,33,1.48079,0.367694
159,0,1,25,1.15329,0.317408
158,0,1,30,1.3373,0.131157
157,0,1,33,1.47744,0.373261
156,0,1,76,3.43283,0.144092
155,0,1,30,1.33166,1.26535
154,0,1,31,1.39077,0.584197
153,0,1,24,1.09011,0.631179
152,0,1,56,2.51611,0.316384
151,0,1,31,1.37112,0.467015
150,0,1,35,1.57304,0.219224
149,0,1,29,1.30786,0.687261
148,0,1,31,1.40028,0.274812
147,0,1,41,1.8415,0.212318
146,0,1,29,1.3392,0.359053
145,0,1,32,1.44453,1.15112
144,0,1,26,1.18177,0.177387
143,0,1,53,2.36112,0.492169
142,0,1,28,1.25321,0.313959
141,0,1,30,1.3723,0.435783
140,0,1,32,1.43354,0.136208
