map,is_failed,is_landed,iter,elapsed,f_err
299,1,0,200,7.76976,9.44353
298,0,1,159,6.23835,10.6997
297,0,1,184,7.14414,6.79069
296,0,1,166,6.53614,4.70123
295,0,1,33,1.33601,5.94182
294,0,1,53,2.10286,6.04532
293,0,1,183,7.21476,6.00055
292,0,1,87,3.41516,8.42191
291,0,1,122,4.72367,10.1622
290,1,0,200,7.73516,2.3283
289,0,1,33,1.33803,5.53817
288,1,0,200,7.65476,11.7667
287,1,0,200,7.73578,8.76362
286,1,0,200,7.63819,8.10296
285,0,1,34,1.31439,10.4482
284,1,0,200,7.80799,3.22397
283,0,1,151,5.97279,9.45307
282,1,0,200,7.76479,8.7974
281,1,0,200,8.10059,5.40918
280,1,0,200,7.91845,5.65909
279,1,0,200,7.9467,7.50311
278,0,1,116,4.45934,9.96311
277,1,0,200,7.87279,5.55209
276,1,0,200,7.87405,8.89084
275,0,1,138,5.60424,6.55006
274,0,1,107,4.19947,4.84688
273,0,1,27,1.04616,6.5824
272,1,0,120,4.54069,4.29569
271,1,0,200,7.54483,7.98013
270,0,1,198,7.39953,8.37346
269,0,1,92,3.49123,9.86446
268,1,0,200,7.4299,4.23757
267,0,1,46,1.75372,6.3067
266,1,0,95,3.53396,8.49001
265,1,0,136,5.01874,7.74093
264,0,1,36,1.37094,8.28618
263,0,1,115,4.30466,6.9825
262,1,0,200,7.42088,15.5158
261,0,1,30,1.16331,7.0716
260,0,1,75,2.8236,6.27355
259,0,1,83,3.17731,9.57413
258,1,0,200,7.45819,6.53693
257,0,1,145,5.44355,5.78201
256,1,0,200,7.41345,11.8695
255,0,1,181,6.7117,11.2237
254,0,1,46,1.77713,5.8582
253,0,1,190,7.10297,5.09671
252,1,0,200,7.47728,4.83665
251,0,1,129,4.83863,5.22234
250,1,0,200,7.56445,11.6862
249,1,0,200,7.52944,8.46469
248,1,0,200,7.39497,7.86789
247,0,1,62,2.33217,5.32648
246,1,0,36,1.39478,5.46306
245,0,1,34,1.31833,5.06987
244,0,1,143,5.36954,12.4292
243,0,1,16,0.629437,4.95741
242,0,1,151,5.58726,21.4333
241,0,1,142,5.34738,5.29347
240,0,1,33,1.2877,7.51755
239,0,1,63,2.40418,7.88636
238,1,0,200,7.49936,4.08008
237,0,1,91,3.44977,3.56456
236,1,0,200,7.58584,1.45861
235,1,0,200,7.42677,6.0223
234,0,1,166,6.16916,3.69139
233,0,1,185,6.97686,2.43173
232,0,1,49,1.88241,7.08132
231,0,1,40,1.53765,7.79794
230,0,1,29,1.11599,5.60625
229,0,1,134,4.99792,5.1585
228,1,0,200,7.4573,11.0709
227,1,0,200,7.43968,4.41856
226,1,0,200,7.4216,6.80536
225,0,1,135,5.03395,10.474
224,0,1,59,2.24949,8.16646
223,1,0,15,0.602529,4.05439
222,1,0,200,7.456,3.04755
221,0,1,36,1.37431,4.64172
220,0,1,145,5.42498,14.6337
219,0,1,154,5.83862,6.30619
218,0,1,159,5.94315,7.85124
217,1,0,200,7.5251,6.38275
216,1,0,200,7.47089,3.50112
215,0,1,161,6.08982,9.15247
214,1,0,110,4.13706,3.95607
213,1,0,200,7.3921,11.7274
212,0,1,98,3.7065,3.0881
211,1,0,200,7.39209,8.51855
210,0,1,29,1.13802,9.71951
209,0,1,43,1.63926,5.62524
208,1,0,200,7.4765,10.4356
207,0,1,127,4.75362,7.88632
206,0,1,86,3.24564,13.3541
205,1,0,200,7.52617,5.38059
204,0,1,197,7.3146,8.68839
203,0,1,55,2.09756,8.54145
202,0,1,55,2.08726,7.40402
201,0,1,26,1.00328,7.86575
200,0,1,193,7.12724,8.00035
199,0,1,30,1.16198,7.98909
198,0,1,24,0.933628,8.71441
197,0,1,31,1.20041,5.13975
196,0,1,69,2.61361,8.8782
195,0,1,146,5.43514,8.95699
194,0,1,193,7.21695,13.5066
193,0,1,50,1.87924,8.66973
192,1,0,143,5.35239,4.53388
191,0,1,80,3.00313,12.0702
190,0,1,108,4.0536,14.5097
189,1,0,120,4.49656,5.42911
188,1,0,200,7.41453,7.64408
187,0,1,37,1.41655,8.01548
186,0,1,33,1.27226,5.71942
185,0,1,91,3.44877,5.66238
184,1,0,200,7.41502,9.95439
183,1,0,200,7.49458,9.75126
182,0,1,80,3.08659,6.63727
181,0,1,75,2.85628,7.0553
180,1,0,148,5.4809,11.1911
179,1,0,74,2.78008,5.29882
178,0,1,164,6.20968,8.23044
177,0,1,31,1.22078,9.43513
176,0,1,36,1.38358,0.699353
175,0,1,24,0.954406,4.57592
174,0,1,20,0.788383,4.21048
173,1,0,200,7.51413,6.23342
172,0,1,116,4.39202,5.19643
171,0,1,120,4.53056,5.38508
170,0,1,34,1.31604,6.83164
169,0,1,39,1.50357,8.80168
168,1,0,200,7.37675,8.92795
167,0,1,123,4.61673,0.959616
166,0,1,77,2.91277,8.04379
165,0,1,158,5.86818,21.0176
164,0,1,53,2.03868,6.95364
163,0,1,54,2.03519,10.3261
162,1,0,200,7.35466,6.49405
161,0,1,130,4.83497,1.22071
160,0,1,131,4.91096,5.33438
159,0,1,58,2.22407,3.33864
158,0,1,40,1.52874,10.2816
157,0,1,65,2.49408,16.1019
156,0,1,169,6.34484,0.926273
155,0,1,31,1.18329,13.3723
154,0,1,111,4.16031,5.22387
153,0,1,126,4.66965,9.70263
152,1,0,13,0.517897,5.04099
151,0,1,74,2.80872,9.87268
150,1,0,65,2.46097,12.1023
149,1,0,200,7.40829,8.18384
148,1,0,200,7.46075,6.66576
147,0,1,157,5.86407,9.23606
146,0,1,39,1.48302,3.34054
145,1,0,200,7.38692,7.28599
144,1,0,200,7.40734,3.59851
143,0,1,41,1.57952,10.0174
142,1,0,200,7.52389,5.5641
141,0,1,178,6.62798,6.5511
140,0,1,46,1.73736,9.73213
139,1,0,200,7.43067,0.692579
138,0,1,93,3.49457,7.38128
137,1,0,200,7.3758,8.69916
136,1,0,11,0.452051,4.84034
135,0,1,41,1.56502,7.00388
134,1,0,51,1.92465,7.00901
133,1,0,200,7.43831,4.97381
132,0,1,128,4.7866,7.7184
131,1,0,200,7.40237,5.86611
130,0,1,175,6.60084,9.79226
129,1,0,200,7.4349,4.19337
128,0,1,191,7.14998,11.4412
127,1,0,200,7.3975,12.883
126,0,1,72,2.73465,10.1454
125,0,1,34,1.31785,2.82855
124,1,0,200,7.43533,3.19652
123,0,1,102,3.82311,9.60377
122,0,1,85,3.18261,3.19606
121,0,1,25,0.971244,4.79946
120,1,0,200,7.33045,16.324
119,1,0,49,1.85036,7.17192
118,1,0,200,7.37889,2.81264
117,1,0,52,1.94333,5.03409
116,0,1,53,2.00307,6.72126
115,0,1,59,2.21934,6.84813
114,0,1,23,0.890096,7.61692
113,0,1,36,1.38879,8.18697
