map,is_failed,is_landed,iter,elapsed,f_err
299,0,1,66,1.51272,1.18248
298,1,0,200,4.4132,2.34855
297,0,1,33,0.754219,0.54911
296,0,1,67,1.60208,3.99541
295,0,1,74,1.60711,1.84298
294,1,0,200,4.39067,0.602083
293,1,0,161,3.57507,4.54194
292,0,1,75,1.5839,5.09059
291,1,0,193,3.98531,2.87399
290,0,1,121,2.56117,1.66884
289,1,0,52,1.12243,2.88362
288,1,0,200,4.05947,2.52931
287,1,0,126,2.62751,5.61862
286,0,1,95,2.03782,6.7717
285,1,0,200,4.13604,1.51973
284,1,0,200,4.26637,2.36758
283,1,0,91,1.94279,7.36668
282,0,1,129,2.67334,3.72895
281,1,0,200,4.06391,0.652828
280,0,1,46,1.0017,6.92264
279,1,0,42,0.885154,8.43016
278,1,0,62,1.30442,3.93749
277,1,0,200,4.10255,1.30754
276,1,0,200,4.20533,9.21486
275,0,1,124,2.62955,1.57213
274,1,0,118,2.39557,1.3622
273,0,1,171,3.56654,6.68957
272,1,0,200,4.24007,7.09315
271,1,0,36,0.781953,3.31568
270,0,1,54,1.1677,1.34686
269,0,1,58,1.23643,0.417928
268,1,0,200,4.16435,4.59059
267,1,0,200,4.27065,2.88076
266,1,0,200,4.09612,1.2471
265,0,1,178,3.76709,11.0252
264,0,1,119,2.48841,2.04679
263,0,1,134,2.83852,1.8212
262,0,1,112,2.39865,2.7132
261,1,0,54,1.1433,5.68942
260,1,0,72,1.4726,4.12598
259,1,0,36,0.73773,3.12882
258,0,1,163,3.33453,0.766408
257,0,1,63,1.30958,3.96636
256,1,0,19,0.403541,4.04281
255,0,1,51,1.05059,6.56773
254,0,1,55,1.17015,1.26292
253,1,0,200,4.16854,2.12796
252,1,0,84,1.76916,1.57046
251,0,1,32,0.677167,1.5237
250,0,1,169,3.52641,1.39927
249,0,1,68,1.44293,0.132513
248,0,1,170,3.60659,3.56153
247,0,1,59,1.27579,1.62863
246,0,1,47,1.01091,2.86167
245,1,0,200,4.09641,0.762189
244,0,1,106,2.22005,4.22244
243,1,0,191,4.01477,1.97354
242,0,1,110,2.29354,1.83561
241,0,1,62,1.34564,0.658027
240,0,1,144,3.07051,1.51844
239,1,0,200,4.10167,0.764043
238,1,0,49,1.06419,5.92208
237,1,0,146,3.09166,1.31621
236,1,0,94,1.92173,3.79596
235,1,0,200,4.10584,0.515393
234,0,1,34,0.750229,2.6835
233,0,1,47,0.975268,0.835271
232,1,0,200,4.08145,0.274999
231,1,0,188,3.91326,1.29338
230,1,0,33,0.702436,2.58223
229,1,0,200,4.14749,2.32857
228,0,1,89,1.86433,2.79222
227,0,1,80,1.66171,2.97383
226,0,1,99,2.02361,1.14823
225,1,0,28,0.60523,2.80725
224,0,1,164,3.49632,0.677869
223,0,1,34,0.757947,0.964983
222,0,1,34,0.744555,4.72964
221,0,1,119,2.52136,0.694828
220,0,1,72,1.49283,4.19758
219,1,0,22,0.471769,5.07455
218,0,1,198,4.10268,5.80021
217,0,1,35,0.764199,3.99489
216,0,1,93,1.90532,3.95154
215,1,0,200,4.13403,9.00103
214,0,1,96,2.04242,1.49872
213,0,1,24,0.518422,1.86135
212,1,0,200,4.11522,2.20016
211,0,1,99,2.12488,0.312401
210,1,0,75,1.58223,1.50223
209,0,1,161,3.33543,2.44322
208,0,1,79,1.63471,0.42091
207,0,1,69,1.41493,5.01509
206,1,0,85,1.73929,3.59848
205,1,0,20,0.420632,2.93123
204,1,0,47,1.00656,2.0667
203,0,1,36,0.77345,1.94764
202,0,1,124,2.60302,4.61835
201,0,1,38,0.836343,0.92933
200,1,0,200,4.19999,2.52749
199,1,0,200,4.16388,2.12585
198,0,1,126,2.69708,1.4371
197,0,1,55,1.19479,1.43061
196,1,0,200,4.28752,0.913996
195,0,1,38,0.837545,1.57167
194,1,0,29,0.623404,5.99882
193,0,1,54,1.10826,0.814575
192,1,0,82,1.70776,5.62496
191,0,1,197,4.12816,1.40623
190,0,1,108,2.32645,1.34629
189,0,1,73,1.54482,2.30308
188,1,0,166,3.40001,1.53642
187,0,1,142,2.97816,0.765522
186,1,0,200,4.17637,4.24623
185,0,1,45,0.992513,4.44191
184,1,0,56,1.16179,1.30289
183,1,0,200,4.13199,5.88078
182,0,1,120,2.49401,1.51714
181,1,0,30,0.643376,2.50122
180,1,0,20,0.441269,2.68971
179,0,1,133,2.82618,2.82845
178,0,1,174,3.72754,1.35177
177,1,0,87,1.82906,1.24423
176,1,0,200,4.18898,0.0978207
175,0,1,88,1.89551,0.924459
174,0,1,190,3.97968,1.13504
173,1,0,40,0.837265,3.28105
172,1,0,200,4.1587,1.38914
171,1,0,119,2.48493,5.32448
170,0,1,34,0.721269,1.37532
169,1,0,169,3.48803,1.39227
168,1,0,75,1.55619,1.28107
167,1,0,82,1.68444,2.48357
166,0,1,159,3.29202,2.6958
165,1,0,103,2.14499,3.93407
164,1,0,200,4.23533,2.86576
163,1,0,48,1.04041,7.00487
162,0,1,73,1.53813,3.21379
161,0,1,44,0.938872,1.38529
160,1,0,200,4.12159,7.69009
159,0,1,139,2.93473,2.91991
158,1,0,200,4.11899,1.03429
157,1,0,200,4.2538,4.89184
156,1,0,97,2.06618,1.50635
155,1,0,37,0.811548,1.38858
154,1,0,63,1.33203,4.21936
153,1,0,35,0.731846,4.94675
152,0,1,82,1.74052,0.220658
151,1,0,200,4.21878,0.673264
150,1,0,200,4.2219,1.42612
149,0,1,41,0.904891,1.05133
148,0,1,68,1.45619,7.36461
147,0,1,116,2.44626,0.49485
146,0,1,176,3.70265,0.43617
145,1,0,70,1.4693,1.41607
144,1,0,200,4.15503,0.783213
143,0,1,24,0.529393,3.89751
142,0,1,91,1.87152,2.53706
141,0,1,101,2.06924,1.26873
140,1,0,26,0.539641,2.57313
139,1,0,56,1.16386,1.50831
138,0,1,109,2.21288,0.803962
137,1,0,103,2.1288,5.22869
136,0,1,50,1.0687,7.13578
135,1,0,200,4.09681,1.17271
134,1,0,36,0.784787,1.9782
133,1,0,35,0.73998,2.97265
132,0,1,44,0.939485,1.84754
131,0,1,28,0.591074,4.39831
130,1,0,200,4.14394,5.84312
129,0,1,74,1.54979,0.795308
128,0,1,79,1.6953,0.659631
127,1,0,39,0.825731,3.16902
126,1,0,198,4.16074,4.04646
125,1,0,41,0.893939,1.59741
124,0,1,130,2.76022,0.23105
123,0,1,55,1.19512,3.76592
122,0,1,23,0.505308,3.36166
121,1,0,145,2.97682,7.54918
120,0,1,133,2.82319,0.403612
119,0,1,80,1.72623,6.0987
118,0,1,135,2.85705,0.194305
117,1,0,200,4.15478,4.47446
116,1,0,200,4.1948,1.91691
115,1,0,200,4.18171,1.17578
114,0,1,83,1.76081,1.37158
113,1,0,84,1.75977,6.26985
112,0,1,71,1.48408,6.92276
111,1,0,200,4.14677,7.26093
110,1,0,200,4.22536,1.35114
109,1,0,86,1.82441,1.42432
108,0,1,77,1.6371,0.666568
107,1,0,33,0.69283,1.59021
106,0,1,116,2.46806,0.792119
105,1,0,126,2.68052,1.52282
104,1,0,200,4.09829,1.71627
103,1,0,163,3.42691,1.26881
102,0,1,98,2.09458,4.49426
101,0,1,164,3.44234,1.30635
100,0,1,45,0.964002,1.34153
99,1,0,200,4.06366,0.625184
98,1,0,100,2.07648,1.87716
97,0,1,114,2.39237,0.887205
96,0,1,51,1.08858,1.16423
95,0,1,121,2.49421,2.66938
94,0,1,60,1.29821,2.21645
93,0,1,39,0.835232,0.948507
92,0,1,62,1.29782,3.43887
91,0,1,65,1.34591,3.95355
90,0,1,26,0.550748,0.208248
89,0,1,105,2.14956,1.49596
88,1,0,109,2.27719,1.42468
87,0,1,44,0.943664,1.52034
86,1,0,64,1.34592,4.23304
85,1,0,21,0.440187,3.09628
84,1,0,38,0.806082,3.27141
83,1,0,28,0.60369,2.16011
82,1,0,200,4.19939,1.12363
81,0,1,50,1.08825,3.96726
80,0,1,97,2.06391,0.894372
79,0,1,40,0.86,1.39161
78,1,0,200,4.12255,1.68801
77,1,0,200,4.13662,1.61496
76,0,1,186,3.85176,1.99713
75,0,1,117,2.46245,1.04486
74,0,1,72,1.50021,1.729
73,1,0,200,4.18436,0.221367
72,0,1,44,0.964414,0.550695
71,0,1,100,2.12654,1.2844
70,0,1,152,3.1821,1.18392
69,1,0,200,4.17928,0.776619
68,0,1,45,0.981421,1.96831
67,0,1,151,3.14422,0.952241
66,0,1,68,1.49777,2.78169
65,0,1,90,1.87313,0.325459
64,0,1,32,0.660688,3.76418
63,0,1,90,1.86202,9.60033
62,0,1,40,0.875476,4.92303
61,0,1,69,1.51838,0.451491
60,1,0,200,4.14906,0.83659
59,0,1,136,3.45241,1.20612
58,0,1,110,3.23277,5.68606
57,1,0,200,5.356,2.02339
56,0,1,33,0.799229,2.55568
55,0,1,40,0.920967,2.69947
54,0,1,42,0.986264,0.400025
53,0,1,76,1.81708,0.546482
52,0,1,46,1.05994,5.76075
51,1,0,200,4.83359,0.353298
50,0,1,128,3.04505,0.905725
49,0,1,102,2.25453,2.96082
48,1,0,83,1.88183,6.58117
47,0,1,48,1.19023,2.37291
46,0,1,42,0.986963,2.01563
45,1,0,76,1.80154,2.10451
44,0,1,42,0.994681,0.845779
43,0,1,55,1.38292,1.83665
42,0,1,63,1.3812,1.86158
41,1,0,200,4.56165,1.56762
40,1,0,31,0.687471,1.69613
39,1,0,135,3.05677,2.36627
38,0,1,75,1.74645,6.36164
37,1,0,200,4.69211,1.67054
36,0,1,72,1.72049,1.39183
35,0,1,56,1.34572,0.639455
34,0,1,45,1.05836,0.810031
33,1,0,50,1.17502,6.35717
32,0,1,143,3.33975,1.69096
31,0,1,130,3.04495,0.751461
30,1,0,200,4.77643,0.830405
29,0,1,141,3.37736,3.10349
28,0,1,41,0.977755,5.84222
27,0,1,64,1.54103,1.90284
26,0,1,115,2.81679,0.827846
25,1,0,29,0.731611,7.57191
24,1,0,62,1.47604,2.03034
23,1,0,25,0.627715,2.31669
22,0,1,141,3.34771,2.03819
21,0,1,73,1.69968,0.569225
20,1,0,200,4.84041,3.42744
19,1,0,111,2.6621,2.50554
18,0,1,59,1.40962,0.319046
17,0,1,86,1.91261,1.13729
16,0,1,53,1.3045,2.20817
15,0,1,182,4.05822,0.836473
14,1,0,124,2.80035,1.77887
13,0,1,90,1.88825,0.721563
12,0,1,90,1.93716,0.609248
11,1,0,200,4.3514,1.94492
10,0,1,58,1.24164,0.559777
9,0,1,55,1.1617,0.948253
8,1,0,44,0.908848,1.76658
7,0,1,175,3.77462,3.38581
6,0,1,124,2.76018,1.02292
5,1,0,143,3.13093,2.97503
4,0,1,50,1.09615,0.412694
3,0,1,51,1.18711,3.17015
2,0,1,40,0.859885,1.05583
1,1,0,140,2.96872,1.49735
0,0,1,23,0.535526,2.95269
