s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,100,7.27306,2.23975,1.58687,0.0305503,3.41588,0.0602344
0,298,1,106,9.28485,2.47313,3.89218,0.0187044,2.90084,0.0847626
0,297,1,107,8.29893,2.43733,3.21286,0.0190296,2.6297,0.0727241
0,296,1,113,9.27019,2.60824,3.62621,0.018873,3.01687,0.056025
0,295,1,107,8.43728,2.46168,2.72774,0.0236901,3.22418,0.0642269
0,294,1,85,5.85929,1.9129,1.60321,0.0208867,2.3223,0.0984439
0,293,1,101,7.29095,2.26818,2.45634,0.0185398,2.54789,0.0828431
0,292,1,88,8.14214,2.00857,3.04753,0.0237365,3.0623,0.0484027
0,291,1,85,8.43505,2.04058,4.00616,0.0192955,2.36902,0.0331912
0,290,1,92,7.48935,2.1488,2.85477,0.019259,2.46652,0.0430802
0,289,1,91,7.17809,2.12045,3.14782,0.0174454,1.89238,0.0604215
0,288,1,82,7.60602,1.95657,2.98778,0.0201047,2.64157,0.0779154
0,287,1,93,6.81689,2.09763,2.25254,0.0135001,2.45322,0.0829639
0,286,1,99,6.80358,2.22302,2.0447,0.0225959,2.51327,0.0561468
0,285,1,116,8.874,2.64356,3.20343,0.0229547,3.00406,0.0580374
0,284,1,97,6.88189,2.2187,2.38038,0.0191049,2.2637,0.0776245
0,283,1,111,6.96753,2.48166,1.76456,0.0264901,2.69482,0.0696826
0,282,1,89,7.72585,2.0477,2.97598,0.0193171,2.68286,0.080318
0,281,1,82,7.95074,1.91065,3.46378,0.019649,2.55666,0.0285804
0,280,1,92,7.07194,2.18037,2.77518,0.0190669,2.09732,0.0978531
0,279,0,200,14.7457,4.65947,6.40465,0.0360255,3.6456,0.517106
0,278,1,94,6.54459,2.13575,2.01182,0.023462,2.37356,0.086075
0,277,1,83,7.75751,1.88977,3.23577,0.0205009,2.61146,0.0822049
0,276,1,101,8.95313,2.35425,3.85616,0.0200935,2.72262,0.0275787
0,275,1,105,8.66816,2.47626,2.62054,0.0294307,3.54193,0.0642983
0,274,1,83,8.14186,1.96349,3.06254,0.0238402,3.09198,0.0952571
0,273,1,116,8.10081,2.64171,2.20645,0.0215611,3.23109,0.070501
0,272,0,200,14.6716,4.68773,6.59436,0.02663,3.36292,0.584079
0,271,1,87,6.61147,1.97752,3.03136,0.0144399,1.58815,0.0818443
0,270,1,97,7.50204,2.2507,2.53087,0.0256491,2.69482,0.0623858
0,269,1,85,7.6935,2.07615,3.17755,0.0198074,2.42,0.0937554
0,268,1,94,7.4698,2.20817,2.82186,0.0186654,2.42111,0.0796343
0,267,1,105,8.46003,2.43941,3.31659,0.0196705,2.68435,0.0806593
0,266,1,82,6.95503,1.87146,3.03532,0.0158558,2.03239,0.0679597
0,265,1,111,8.28589,2.52971,3.09973,0.0148355,2.64162,0.0710882
0,264,1,91,7.32901,2.09815,2.57133,0.020951,2.63858,0.0895481
0,263,1,90,6.06602,2.02319,1.66789,0.0246206,2.35032,0.0909853
0,262,1,102,8.68086,2.32948,3.67806,0.0175488,2.65577,0.0964544
0,261,1,89,7.65297,2.10083,3.23102,0.0181268,2.303,0.0983843
0,260,1,84,5.85427,1.88198,1.57576,0.0207092,2.37582,0.0823141
0,259,1,98,7.95193,2.32825,3.29433,0.0197046,2.30965,0.0793855
0,258,1,101,8.34768,2.31825,3.46032,0.0225422,2.54657,0.0463784
0,257,1,80,7.13495,1.84347,3.1172,0.0176783,2.15659,0.0851125
0,256,1,99,8.11006,2.34677,3.10498,0.0229396,2.63537,0.0927742
0,255,1,88,7.26843,2.05962,2.35292,0.0256696,2.83023,0.0932405
0,254,1,99,8.59386,2.26016,3.64617,0.0207523,2.66679,0.0776453
0,253,1,104,8.19732,2.35887,3.00475,0.0226017,2.8111,0.0865628
0,252,1,98,8.72618,2.24018,3.75762,0.0212289,2.70716,0.00714367
0,251,1,100,8.45278,2.33172,3.88011,0.0188441,2.2221,0.0954249
0,250,0,21,1.42468,0.481017,0.709795,0.00138469,0.232482,3.95287
0,249,1,101,7.75778,2.30742,2.63828,0.0196511,2.79243,0.0685909
0,248,1,92,6.53225,2.06174,1.75482,0.0217533,2.69394,0.0638164
0,247,1,103,9.08913,2.38283,4.33486,0.0199724,2.35147,0.0393373
0,246,1,88,7.50099,2.03787,3.13733,0.0158792,2.30991,0.0984573
0,245,1,93,7.4054,2.20473,2.71203,0.0182156,2.47043,0.093378
0,244,1,88,6.84153,2.00154,2.84142,0.0157132,1.98286,0.0561199
0,243,1,107,9.29668,2.45925,4.33809,0.0212255,2.47811,0.0982757
0,242,1,115,9.62789,2.73885,3.73662,0.0222308,3.13019,0.0655197
0,241,1,95,7.81285,2.25781,3.1586,0.0177755,2.37868,0.0987958
0,240,1,85,7.41929,1.95854,3.00801,0.0219705,2.43077,0.0594134
0,239,1,115,9.68873,2.60886,4.44977,0.0225863,2.60752,0.0961948
0,238,1,103,7.73142,2.35834,3.8441,0.0136233,1.51536,0.0875105
0,237,1,97,8.21058,2.31242,3.55959,0.0176252,2.32095,0.0750136
0,236,1,83,8.18456,1.90087,3.77963,0.0205219,2.48354,0.0813109
0,235,1,120,7.52697,2.67854,1.51608,0.0285248,3.30383,0.0848693
0,234,1,110,9.06439,2.55609,4.24243,0.0186937,2.24717,0.0721082
0,233,1,93,8.07944,2.14381,3.32771,0.0228915,2.58503,0.0986842
0,232,1,88,6.41045,1.98734,2.09194,0.0172119,2.31397,0.0866245
0,231,1,93,8.56926,2.13379,3.52774,0.025802,2.88192,0.0532185
0,230,1,97,7.43002,2.28241,2.81933,0.0138213,2.31446,0.058515
0,229,1,88,7.72697,2.15511,2.80139,0.0179387,2.75254,0.0846322
0,228,1,101,8.71333,2.2984,3.24356,0.0250878,3.14629,0.058132
0,227,1,99,6.74894,2.23634,1.83159,0.0213261,2.65968,0.0870022
0,226,1,101,7.34058,2.27543,2.44806,0.0247217,2.59237,0.0891486
0,225,0,23,1.27444,0.512165,0.500943,0.0015357,0.259792,4.02871
0,224,1,107,8.18931,2.39125,2.34378,0.0265819,3.4277,0.0129659
0,223,1,88,6.45475,1.97422,1.97147,0.0178799,2.49118,0.0923435
0,222,1,95,6.97888,2.12764,2.48577,0.0200291,2.34544,0.0554608
0,221,1,96,8.51525,2.15736,3.23138,0.0234172,3.1031,0.0676932
0,220,1,123,9.76062,2.7824,3.80871,0.0251132,3.14439,0.0893629
0,219,1,92,6.68753,2.07059,2.23175,0.0173384,2.36786,0.0328494
0,218,1,99,8.11044,2.22576,3.28589,0.0225774,2.57622,0.0668586
0,217,1,105,8.40868,2.41785,3.3898,0.0200779,2.58096,0.0531723
0,216,1,100,8.12689,2.3555,3.18143,0.0205768,2.56938,0.0757574
0,215,1,95,8.25943,2.18041,3.29278,0.0220695,2.76417,0.07531
0,214,1,107,9.3299,2.45086,4.21914,0.022299,2.63761,0.0791056
0,213,1,95,7.45978,2.21333,2.76316,0.0216554,2.46164,0.0732234
0,212,1,95,5.98815,2.16849,1.48215,0.00629006,2.33123,0.0557862
0,211,1,85,7.11548,1.98604,2.63285,0.0184416,2.47815,0.0819885
0,210,0,37,2.18051,0.82613,0.842661,0.0033702,0.508344,3.33094
0,209,1,70,6.75765,1.63706,3.15296,0.0177329,1.94989,0.0246475
0,208,1,103,9.28136,2.33421,3.44465,0.0243719,3.47813,0.09534
0,207,1,98,7.82944,2.20945,3.01385,0.0195051,2.58663,0.0587673
0,206,1,100,8.47737,2.32146,3.57237,0.0202392,2.56331,0.0878514
0,205,1,82,5.84479,1.84317,1.3941,0.0267413,2.58077,0.087475
0,204,1,91,7.87959,2.09061,3.36383,0.0155359,2.40962,0.0951878
0,203,1,103,7.41697,2.34374,2.21776,0.0219961,2.83348,0.0972054
0,202,1,95,8.10725,2.1903,3.22714,0.0196077,2.67021,0.0818421
0,201,1,86,7.25215,1.96293,3.11345,0.0163774,2.15939,0.0841137
0,200,1,107,9.11134,2.48987,4.15842,0.0188048,2.44425,0.0449822
0,199,1,91,7.46769,2.09372,3.29256,0.0173316,2.06408,0.0989329
0,198,1,98,7.7366,2.26317,3.14616,0.018273,2.30899,0.0900842
0,197,1,99,7.1484,2.23869,2.02018,0.0293103,2.86022,0.0943229
0,196,1,80,7.14937,1.86217,2.68403,0.0225792,2.5806,0.0711092
0,195,1,86,7.6028,1.9623,3.54514,0.0170535,2.07831,0.0959019
0,194,1,104,8.24126,2.43874,2.88019,0.0226092,2.89973,0.0475614
0,193,1,86,6.40699,1.92983,1.73688,0.0209981,2.71927,0.0365571
0,192,1,84,7.50053,1.92742,3.30739,0.0189771,2.24674,0.0364508
0,191,1,82,7.39239,1.8908,3.0998,0.0190358,2.38275,0.0937187
0,190,1,96,6.87615,2.19892,2.14043,0.0200089,2.51679,0.0535581
0,189,1,89,7.22697,2.13963,2.65297,0.0219845,2.41238,0.0904484
0,188,1,91,7.64703,2.14033,3.09964,0.0181868,2.38887,0.0866341
0,187,1,98,6.56199,2.20489,1.65908,0.0258437,2.67218,0.0825318
0,186,1,94,7.70449,2.21634,2.64374,0.0221537,2.82226,0.0822891
0,185,1,92,7.16057,2.04778,2.20869,0.0224192,2.88168,0.0209559
0,184,1,103,8.72085,2.3681,4.02391,0.0187628,2.31008,0.0437097
