s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,95,2.10476,2.10476,0,0,0,0.052181
0,298,0,29,0.648006,0.648006,0,0,0,3.30512
0,297,1,119,2.61389,2.61389,0,0,0,0.0905339
0,296,1,154,3.38471,3.38471,0,0,0,0.0931132
0,295,1,106,2.33237,2.33237,0,0,0,0.0969955
0,294,0,200,4.37524,4.37524,0,0,0,1.84917
0,293,0,200,4.37177,4.37177,0,0,0,1.57453
0,292,1,99,2.18042,2.18042,0,0,0,0.0718594
0,291,0,200,4.37551,4.37551,0,0,0,2.09859
0,290,0,200,4.37176,4.37176,0,0,0,1.43886
0,289,0,200,4.37235,4.37235,0,0,0,1.32532
0,288,0,200,4.3694,4.3694,0,0,0,1.32427
0,287,0,25,0.548875,0.548875,0,0,0,3.9315
0,286,0,200,4.32371,4.32371,0,0,0,1.37714
0,285,0,200,4.31465,4.31465,0,0,0,0.589887
0,284,0,200,4.32876,4.32876,0,0,0,1.86115
0,283,0,200,4.32512,4.32512,0,0,0,1.71518
0,282,1,92,2.0056,2.0056,0,0,0,0.0739675
0,281,0,200,4.32945,4.32945,0,0,0,2.68064
0,280,1,111,2.42906,2.42906,0,0,0,0.0998006
0,279,1,105,2.2933,2.2933,0,0,0,0.0975356
0,278,1,109,2.38566,2.38566,0,0,0,0.0519762
0,277,1,104,2.2777,2.2777,0,0,0,0.0942208
0,276,1,102,2.22687,2.22687,0,0,0,0.0904754
0,275,1,101,2.20299,2.20299,0,0,0,0.0782192
0,274,0,200,4.34372,4.34372,0,0,0,1.74107
0,273,0,200,4.33558,4.33558,0,0,0,3.37763
0,272,1,102,2.22948,2.22948,0,0,0,0.0928768
0,271,0,200,4.34026,4.34026,0,0,0,0.996079
0,270,0,200,4.34331,4.34331,0,0,0,1.04872
0,269,1,104,2.27324,2.27324,0,0,0,0.0635667
0,268,0,200,4.34097,4.34097,0,0,0,1.39959
0,267,0,200,4.34738,4.34738,0,0,0,1.03041
0,266,0,200,4.3459,4.3459,0,0,0,1.3714
0,265,0,200,4.33496,4.33496,0,0,0,0.785271
0,264,0,200,4.38443,4.38443,0,0,0,0.900792
0,263,1,93,2.04992,2.04992,0,0,0,0.0990515
0,262,0,200,4.37303,4.37303,0,0,0,0.985706
0,261,1,93,2.05314,2.05314,0,0,0,0.0806352
0,260,1,95,2.09517,2.09517,0,0,0,0.0918209
0,259,1,88,1.95318,1.95318,0,0,0,0.0705364
0,258,0,200,4.33538,4.33538,0,0,0,1.29778
0,257,1,119,2.59953,2.59953,0,0,0,0.0568821
0,256,1,115,2.50556,2.50556,0,0,0,0.0804337
0,255,1,98,2.1393,2.1393,0,0,0,0.0482954
0,254,0,200,4.35737,4.35737,0,0,0,0.842115
0,253,1,102,2.23657,2.23657,0,0,0,0.0955852
0,252,1,95,2.09202,2.09202,0,0,0,0.0991483
0,251,0,200,4.35234,4.35234,0,0,0,3.02627
0,250,1,93,2.03991,2.03991,0,0,0,0.095404
0,249,1,108,2.37079,2.37079,0,0,0,0.0520157
0,248,1,108,2.37383,2.37383,0,0,0,0.0894122
0,247,0,200,4.37379,4.37379,0,0,0,1.21263
0,246,1,101,2.22753,2.22753,0,0,0,0.0970872
0,245,0,200,4.36998,4.36998,0,0,0,2.00665
0,244,1,95,2.11316,2.11316,0,0,0,0.0985569
0,243,0,200,4.47692,4.47692,0,0,0,1.30399
0,242,1,98,2.18139,2.18139,0,0,0,0.0566206
0,241,1,107,2.36708,2.36708,0,0,0,0.0905373
0,240,1,100,2.20846,2.20846,0,0,0,0.0991334
0,239,1,114,2.54175,2.54175,0,0,0,0.0792388
0,238,0,200,4.43472,4.43472,0,0,0,1.54428
0,237,1,99,2.21876,2.21876,0,0,0,0.0582013
0,236,1,102,2.27338,2.27338,0,0,0,0.0840725
