s,map,is_success,iter,elapsed,elapsed_rollout,elapsed_clustering,elapsed_connection,elapsed_guide,f_err
0,299,1,113,1.50782,0.964909,0.0259393,0.00138142,0.515589,0.0959699
0,298,1,112,1.50297,0.965557,0.0241714,0.00136949,0.511867,0.0647246
0,297,1,109,1.42836,0.91586,0.0244065,0.00134368,0.486745,0.0535777
0,296,1,91,1.23549,0.796357,0.021171,0.00112622,0.416838,0.0956885
0,295,1,110,1.43013,0.923921,0.024949,0.00133876,0.479917,0.0918445
0,294,1,113,1.53355,0.992707,0.0279056,0.00136753,0.51157,0.0896085
0,293,1,105,1.4611,0.959289,0.0233414,0.00126478,0.477203,0.066983
0,292,1,96,1.26951,0.828079,0.022599,0.00119221,0.417642,0.0914696
0,291,1,110,1.57159,1.09353,0.0288406,0.00132807,0.447897,0.0656825
0,290,0,200,2.66855,1.81261,0.0480475,0.0023999,0.805486,0.530786
0,289,1,90,1.26541,0.843152,0.0238378,0.0011066,0.397309,0.054579
0,288,0,200,2.74389,1.87655,0.0501077,0.00238691,0.814841,0.600212
0,287,1,108,1.39535,0.84846,0.023887,0.00135535,0.521651,0.0922537
0,286,1,93,1.25475,0.810517,0.0219266,0.00114519,0.421161,0.0502661
0,285,0,16,0.213321,0.115877,0.00324739,0.000204707,0.0939927,4.29887
0,284,0,200,2.62675,1.77054,0.0470248,0.00240111,0.806784,0.733764
0,283,1,112,1.45871,0.917593,0.0258644,0.00138849,0.513859,0.0906366
0,282,1,99,1.2607,0.819128,0.0224396,0.00121297,0.41792,0.0955088
0,281,1,114,1.57722,1.0646,0.0290542,0.00138374,0.482183,0.0394754
0,280,1,101,1.37527,0.898336,0.0242873,0.00123328,0.45141,0.0618292
0,279,1,100,1.34908,0.857886,0.0235081,0.00123311,0.466458,0.0997609
0,278,1,130,1.69123,1.118,0.0302156,0.00158057,0.541436,0.0891308
0,277,1,110,1.55738,1.05093,0.0261034,0.00134877,0.478993,0.0959179
0,276,1,108,1.50174,0.986587,0.0257239,0.00132506,0.488099,0.0793379
0,275,1,94,1.24229,0.79239,0.020864,0.00114661,0.427889,0.0929384
0,274,1,95,1.26856,0.838563,0.0238357,0.00115982,0.405002,0.0679748
0,273,0,74,0.896069,0.504547,0.0151796,0.000935656,0.375407,1.6948
0,272,1,95,1.25995,0.824425,0.0230522,0.00117363,0.411301,0.0768128
0,271,0,34,0.471287,0.271972,0.00773778,0.00042914,0.191148,3.51953
0,270,1,104,1.38238,0.911207,0.0247496,0.00126309,0.44516,0.0517761
0,269,1,107,1.50043,0.996992,0.0270273,0.00129566,0.475116,0.091096
0,268,1,96,1.27606,0.816506,0.0222359,0.00117735,0.436144,0.0794554
0,267,1,99,1.33063,0.861025,0.0223312,0.00122157,0.446049,0.0514091
0,266,1,93,1.26635,0.823103,0.0222123,0.00113825,0.419892,0.0462298
0,265,1,114,1.53932,0.972535,0.0257431,0.00138837,0.539655,0.0971135
0,264,1,115,1.57013,1.03589,0.0272534,0.00139892,0.505595,0.063866
0,263,1,101,1.30639,0.840473,0.022948,0.00123466,0.441731,0.0823447
0,262,1,94,1.23854,0.787289,0.0216208,0.00115447,0.428477,0.0887812
0,261,1,82,1.11735,0.744559,0.0198739,0.000997777,0.351917,0.0723235
0,260,1,111,1.41695,0.918626,0.0244629,0.00136328,0.472495,0.0744325
0,259,0,200,2.82373,1.98241,0.0508872,0.00240757,0.788024,0.748726
0,258,1,98,1.41273,0.953017,0.0260884,0.00119402,0.43243,0.0969111
0,257,1,107,1.47683,0.992594,0.0269183,0.00130448,0.456017,0.0272429
0,256,1,106,1.43415,0.937205,0.0251725,0.00128297,0.470485,0.0894603
0,255,1,134,1.74548,1.1405,0.0310451,0.00162564,0.572316,0.0743352
0,254,1,123,1.74748,1.1949,0.0318026,0.00149991,0.51928,0.0521411
0,253,1,114,1.51656,0.988219,0.0270783,0.00138378,0.499879,0.0959913
0,252,1,116,1.74115,1.20228,0.0304348,0.00138612,0.507045,0.0825141
0,251,1,121,1.68084,1.13553,0.0302768,0.00150108,0.513534,0.085107
0,250,1,120,1.64907,1.08221,0.0289182,0.00145526,0.536477,0.0958394
0,249,0,200,2.7859,1.89588,0.0621665,0.0024215,0.825434,0.354828
0,248,1,107,1.48758,0.955185,0.0279932,0.00130194,0.503102,0.0776273
0,247,1,107,1.58079,1.08655,0.0515162,0.00130163,0.44143,0.0742602
0,246,1,99,1.30813,0.87033,0.0238047,0.00122819,0.412764,0.0969537
0,245,1,127,1.67245,1.10156,0.0281913,0.00157464,0.541123,0.0671445
0,244,0,200,2.71502,1.83758,0.0497639,0.00239026,0.825288,0.503144
0,243,1,95,1.34391,0.906184,0.0245697,0.00115915,0.411997,0.0807691
0,242,0,200,2.67963,1.80456,0.0456613,0.00241401,0.827002,0.450595
0,241,0,200,2.69093,1.84914,0.048442,0.00238589,0.790961,0.389675
0,240,1,84,1.16099,0.772617,0.0207293,0.00103661,0.366612,0.0933353
0,239,1,105,1.50882,1.03031,0.0281261,0.0012745,0.449103,0.0935594
0,238,1,97,1.36274,0.89368,0.0232136,0.0011805,0.444666,0.0865413
0,237,1,108,1.57772,1.07963,0.0268492,0.00130475,0.469931,0.0306492
0,236,1,104,1.4932,1.03838,0.0274355,0.00126643,0.426121,0.0948638
0,235,1,124,1.6426,0.995742,0.0275017,0.00152273,0.617834,0.0431868
0,234,1,121,1.70499,1.10918,0.0295952,0.00146874,0.56475,0.0928399
0,233,1,95,1.36839,0.937114,0.0304862,0.00116024,0.399632,0.0959813
0,232,1,90,1.24607,0.803635,0.0336666,0.00111255,0.40766,0.0833019
0,231,1,89,1.26517,0.84779,0.0227316,0.00117749,0.393473,0.0710526
0,230,1,102,1.39526,0.888041,0.0241657,0.00126321,0.481793,0.0961988
0,229,0,200,2.69067,1.80599,0.0494154,0.00242896,0.832827,0.475876
0,228,1,107,1.47994,0.992733,0.0267913,0.00130581,0.459105,0.0904587
0,227,0,200,2.58477,1.69277,0.0459947,0.00241081,0.843598,0.523696
0,226,0,200,2.729,1.89077,0.0503654,0.00241033,0.785452,0.545338
0,225,1,104,1.40802,0.900243,0.0252748,0.0013584,0.481145,0.0950591
