s,map,is_success,iter,elapsed,f_err
0,299,1,106,7.94358,0.0909715
0,298,1,88,8.14883,0.0992214
0,297,1,114,9.21822,0.0940706
0,296,1,96,8.41653,0.0922682
0,295,1,103,8.63048,0.0838362
0,294,1,94,7.323,0.0773125
0,293,0,200,13.3453,0.437176
0,292,1,99,8.93208,0.0604167
0,291,1,92,9.16684,0.0930701
0,290,1,75,7.05093,0.0891281
0,289,1,94,7.86037,0.0843804
0,288,1,104,9.05608,0.0399143
0,287,1,118,8.43302,0.0962851
0,286,1,83,6.90277,0.0699248
0,285,1,113,9.75611,0.0955443
0,284,1,93,7.39983,0.0589993
0,283,1,112,7.4932,0.0800302
0,282,1,100,8.86608,0.0801618
0,281,1,88,7.81265,0.0879532
0,280,1,100,8.99186,0.0585108
0,279,1,98,8.52427,0.0873766
0,278,1,95,7.01432,0.0784356
0,277,1,91,8.44127,0.0968698
0,276,1,117,9.81447,0.0801304
0,275,1,96,7.39503,0.0722116
0,274,1,101,9.33697,0.0716323
0,273,1,97,7.6115,0.0947163
0,272,1,98,9.18573,0.0826048
0,271,1,110,9.03964,0.057207
0,270,1,73,6.45915,0.09821
0,269,1,99,8.55975,0.0981283
0,268,1,101,7.98461,0.0501668
0,267,1,98,8.67679,0.0362282
0,266,1,104,9.08037,0.0887312
0,265,1,107,8.62652,0.0963767
0,264,1,90,7.67961,0.0857092
0,263,1,124,8.46698,0.0830698
0,262,1,91,8.64478,0.0433275
0,261,1,106,9.28173,0.0926692
0,260,1,111,8.62536,0.0860391
0,259,1,89,8.10162,0.0732949
0,258,0,200,15.1287,0.588483
0,257,1,92,8.47493,0.0941654
0,256,1,89,7.63167,0.0997913
0,255,1,104,7.82152,0.0971354
0,254,1,90,8.73143,0.0770146
0,253,1,103,8.75134,0.0517475
0,252,1,119,10.5621,0.0626482
0,251,0,200,16.2018,0.572625
0,250,1,98,9.00164,0.0771199
0,249,1,127,9.27832,0.0946473
0,248,0,29,1.63297,3.76442
0,247,1,82,7.92082,0.0642019
0,246,1,107,9.16692,0.0875927
0,245,1,88,7.96997,0.0954653
0,244,1,93,8.18319,0.0975912
0,243,1,98,9.09599,0.0911474
0,242,1,82,7.24383,0.066696
0,241,1,80,7.19838,0.0796081
0,240,1,96,8.55142,0.0821255
0,239,1,101,9.0901,0.0804574
0,238,1,119,10.7525,0.0413762
0,237,1,108,9.17598,0.0992413
0,236,1,89,8.6596,0.0840276
0,235,1,103,7.29569,0.0486039
0,234,1,91,7.85642,0.0873471
0,233,1,90,8.39014,0.0603907
0,232,1,139,10.0769,0.0606344
0,231,1,86,8.24426,0.0957016
0,230,1,105,8.95633,0.0713497
0,229,1,101,8.85422,0.0975479
0,228,1,94,8.25349,0.0692709
0,227,1,87,6.94527,0.093746
0,226,1,114,8.6835,0.0344503
0,225,0,18,1.05609,4.19248
0,224,1,123,9.56363,0.0660901
0,223,1,87,7.03901,0.0968658
0,222,1,103,8.70701,0.0667376
0,221,1,99,9.1149,0.0869114
0,220,1,96,8.19934,0.0670344
0,219,1,103,8.03488,0.0738086
0,218,1,79,7.95659,0.0963583
0,217,1,104,8.74496,0.0880495
0,216,1,95,8.64258,0.09726
0,215,1,102,8.91724,0.0887572
0,214,0,200,16.026,0.648667
0,213,1,83,6.77637,0.0656714
0,212,1,109,7.58713,0.0952444
0,211,1,81,7.13999,0.0833352
0,210,0,35,2.26731,3.40778
0,209,1,105,9.55688,0.0855897
0,208,1,91,8.84737,0.0726199
0,207,1,125,10.7035,0.0745449
0,206,1,112,9.6984,0.0744738
0,205,1,95,7.07717,0.0941918
0,204,1,110,9.82317,0.0215434
0,203,1,86,6.97964,0.0880188
0,202,1,82,7.48164,0.0259167
0,201,1,73,7.09814,0.0892549
0,200,1,79,7.33699,0.0607949
0,199,1,98,8.75904,0.0945102
0,198,1,76,6.59643,0.0917614
0,197,1,118,8.7272,0.0717802
0,196,1,90,7.94341,0.0940988
0,195,1,98,9.25114,0.07419
0,194,1,104,8.25145,0.0738587
0,193,1,85,7.07587,0.0396657
0,192,1,81,8.31178,0.0777574
0,191,1,90,9.14853,0.0631341
0,190,1,85,6.82883,0.0629064
0,189,1,91,7.77329,0.0128999
0,188,1,96,8.00177,0.0447825
