s,map,is_success,iter,elapsed,f_err
0,299,1,123,5.4541,0.0996727
0,298,1,105,4.40735,0.0831817
0,297,1,128,5.42568,0.0967553
0,296,1,97,4.08816,0.0561526
0,295,1,100,3.83706,0.0915142
0,294,1,104,4.86368,0.0981622
0,293,0,54,1.31956,1.46808
0,292,1,103,4.80487,0.0922279
0,291,0,200,11.412,2.2094
0,290,1,119,5.65928,0.0786126
0,289,0,200,10.5863,2.22763
0,288,1,102,4.90299,0.0705381
0,287,0,200,3.1151,4.31911
0,286,1,101,4.61907,0.0837791
0,285,1,139,6.2477,0.0813061
0,284,0,200,10.0002,2.56868
0,283,1,114,4.64455,0.0447329
0,282,1,116,4.79628,0.0602896
0,281,1,105,4.86608,0.0635726
0,280,0,200,10.1302,2.52419
0,279,0,200,10.2069,1.30244
0,278,1,88,4.01242,0.0926184
0,277,0,200,10.6322,1.11417
0,276,0,200,9.72373,2.01815
0,275,1,95,3.83996,0.0849974
0,274,0,200,10.1255,1.42352
0,273,0,200,9.70946,1.10609
0,272,0,200,9.01663,2.30754
0,271,1,112,4.68216,0.0682173
0,270,0,200,9.7637,2.30548
0,269,0,200,10.0065,1.7799
0,268,1,90,3.38409,0.0908755
0,267,0,200,9.87375,1.54559
0,266,0,200,10.1552,1.21643
0,265,0,200,8.49598,2.28152
0,264,1,95,4.15606,0.026255
0,263,0,200,9.75755,2.92065
0,262,0,200,9.58293,2.92973
0,261,0,200,10.045,2.17644
0,260,1,109,4.72255,0.0263242
0,259,1,100,5.64801,0.0521174
0,258,1,93,4.63418,0.0490298
0,257,0,200,10.2636,1.35123
0,256,0,200,10.4698,1.41488
0,255,1,101,4.57388,0.0562085
0,254,0,200,9.74247,1.42453
0,253,1,102,4.70404,0.079809
0,252,1,84,4.38034,0.065136
0,251,0,200,10.4839,0.692753
0,250,0,200,3.42095,3.26847
0,249,1,100,4.49119,0.0445943
0,248,1,101,3.90118,0.0999148
0,247,1,98,5.72832,0.088868
0,246,0,200,9.93653,1.62229
0,245,1,87,3.60186,0.0864902
0,244,0,200,10.1118,2.08502
0,243,0,200,10.1036,2.70348
0,242,0,200,10.4039,1.36191
0,241,1,92,4.26164,0.090609
0,240,1,88,4.01311,0.0667751
0,239,0,200,10.6079,1.98494
0,238,0,27,0.371685,3.93324
0,237,0,200,10.7184,2.50418
0,236,0,200,10.8594,1.92133
0,235,0,28,0.382586,3.70612
0,234,1,97,4.25494,0.0523732
0,233,0,200,10.9185,1.87558
0,232,1,114,5.50794,0.0740649
0,231,0,200,10.113,1.56255
0,230,1,118,5.34936,0.0684169
0,229,0,200,9.92204,0.962369
0,228,0,200,9.53392,1.73446
0,227,0,200,9.56056,2.92967
0,226,1,90,4.26161,0.0996613
0,225,1,96,3.99628,0.0911366
0,224,0,200,3.15186,4.80729
0,223,0,200,3.07565,5.05135
0,222,0,200,9.01642,1.53113
0,221,0,200,9.8131,1.40881
0,220,0,200,10.5526,2.62042
0,219,0,200,10.0532,1.30955
0,218,1,119,5.78237,0.0805406
0,217,0,200,9.99628,1.25889
0,216,1,95,4.92876,0.0784201
0,215,0,200,9.80365,1.16753
0,214,1,99,5.29187,0.082801
0,213,0,200,9.71573,3.05613
0,212,0,200,11.6979,2.17813
0,211,1,93,4.11053,0.0865391
0,210,0,200,3.17324,3.4335
0,209,1,107,5.92755,0.0876996
0,208,0,200,9.98981,1.02296
0,207,1,136,5.64575,0.0720285
0,206,1,104,5.04399,0.0580394
0,205,1,132,6.27365,0.0854777
0,204,0,200,10.2028,1.98149
0,203,0,200,10.1973,1.1229
0,202,1,108,5.27801,0.098759
0,201,0,200,9.87504,1.57462
0,200,1,105,5.19247,0.0952962
0,199,1,106,4.58585,0.0794416
0,198,0,200,10.6198,0.985911
0,197,1,113,5.24356,0.0951862
0,196,1,115,5.27867,0.0772887
0,195,0,200,11.3261,1.1046
0,194,0,200,9.05199,2.83599
0,193,1,96,4.12003,0.0722733
0,192,1,85,4.2351,0.0636665
0,191,0,200,10.8636,1.04759
0,190,1,75,3.08409,0.0665551
0,189,0,22,0.304307,4.14388
0,188,0,200,10.0617,2.99482
0,187,1,115,5.23219,0.0637153
0,186,0,200,10.2148,1.15558
0,185,0,200,10.1833,1.5903
0,184,0,200,10.5518,1.88014
0,183,0,200,9.93713,2.00088
0,182,1,105,4.29976,0.0831232
0,181,1,113,4.43333,0.087109
0,180,1,95,4.31819,0.0991747
0,179,1,101,4.65668,0.0854781
0,178,0,200,9.40543,2.95024
0,177,0,200,10.0955,1.72377
0,176,0,200,10.0918,2.78702
0,175,0,200,9.75608,0.649262
0,174,0,200,10.795,1.38527
0,173,1,94,4.36865,0.0823498
0,172,0,200,10.1179,1.12207
0,171,0,200,9.19931,3.09635
0,170,1,97,4.40158,0.0619912
0,169,1,90,4.05869,0.0555227
0,168,1,104,4.40314,0.0546012
0,167,1,107,5.79099,0.0986207
0,166,1,99,4.68526,0.0698976
0,165,0,200,10.1171,2.84301
0,164,1,82,3.79776,0.083662
0,163,0,200,9.6886,1.27581
0,162,1,108,4.86289,0.0927232
0,161,0,200,10.9518,2.24088
0,160,1,122,6.16938,0.0421991
0,159,0,200,9.86715,1.67293
0,158,0,200,9.26468,3.25922
0,157,0,200,9.97858,0.88113
0,156,1,93,4.61141,0.0582083
0,155,1,105,4.73934,0.0902491
0,154,0,27,0.375267,3.76702
0,153,1,87,3.81249,0.0653618
0,152,0,200,10.9363,1.14434
0,151,0,200,9.85463,1.86929
0,150,1,101,4.80168,0.0891365
0,149,0,200,10.7846,1.27329
0,148,1,93,4.73542,0.0839629
0,147,1,90,4.51304,0.0774646
0,146,1,93,5.01037,0.0806702
0,145,0,200,10.1276,1.9222
0,144,1,106,4.57466,0.0927247
0,143,1,79,3.7415,0.0475906
0,142,0,200,10.8701,1.66551
0,141,0,200,10.835,1.17209
0,140,1,94,3.66336,0.0837389
0,139,0,200,10.4737,1.82877
0,138,1,90,4.33482,0.099869
0,137,0,200,9.35047,0.657501
0,136,0,200,9.62625,2.234
0,135,0,200,9.9981,3.53597
0,134,0,200,10.5102,1.94028
0,133,1,82,3.62084,0.0871357
0,132,1,88,3.70914,0.0913812
0,131,1,88,3.95925,0.0534067
0,130,0,200,11.8476,1.49753
0,129,0,200,10.5877,1.20597
0,128,0,200,10.1371,2.75842
0,127,0,200,9.90629,1.31615
0,126,1,117,5.68853,0.0285388
0,125,0,22,0.307359,4.06859
0,124,1,98,4.67943,0.0854532
0,123,0,200,8.50805,1.43921
0,122,1,87,4.37459,0.0702217
0,121,1,117,5.5698,0.0725505
0,120,1,84,3.87464,0.0935421
0,119,1,102,4.39906,0.0922562
0,118,1,113,4.82472,0.0983887
0,117,1,124,5.10933,0.0389772
0,116,1,90,4.51649,0.0898472
0,115,1,97,4.42972,0.089225
0,114,1,108,5.17056,0.0902077
0,113,0,200,9.72165,1.52582
0,112,1,95,4.55053,0.0257663
0,111,0,200,9.88073,2.40372
0,110,0,200,10.8971,2.78516
0,109,0,200,10.1046,1.13555
0,108,0,200,10.4322,1.57736
0,107,0,200,10.1369,1.1923
0,106,0,200,10.2305,3.16142
0,105,0,200,10.118,1.60056
0,104,0,200,10.4038,1.28198
0,103,1,97,4.90689,0.0332988
0,102,0,200,9.33614,3.14289
0,101,1,93,4.7892,0.0946346
0,100,1,101,4.80622,0.0791914
0,99,1,95,5.03356,0.0339484
0,98,0,200,10.0281,1.8579
0,97,1,113,6.30584,0.0545526
0,96,0,200,10.5807,1.81436
0,95,0,200,10.7727,1.36759
0,94,1,114,5.75537,0.0990725
0,93,1,81,4.99994,0.0494703
0,92,1,114,4.52575,0.0814701
0,91,1,87,3.94862,0.085072
0,90,0,200,11.0645,1.90643
0,89,0,200,10.6573,1.87663
0,88,1,104,5.19162,0.0711507
0,87,1,86,5.29702,0.0741356
0,86,0,200,10.502,2.13924
0,85,0,27,0.372814,3.78322
0,84,1,92,4.52015,0.0755325
0,83,0,200,11.4703,2.77281
0,82,0,200,10.5831,1.01216
0,81,1,98,4.7186,0.0987591
0,80,1,105,4.63382,0.0781857
0,79,0,200,9.80861,1.84816
0,78,0,200,9.56427,1.28054
0,77,1,90,3.70473,0.0546725
0,76,1,96,4.83631,0.0781001
0,75,1,104,6.24599,0.0831744
0,74,1,81,4.41732,0.0672824
0,73,0,200,10.0452,2.21397
0,72,0,200,10.9492,1.21222
0,71,1,78,4.16045,0.0949258
0,70,1,92,5.09541,0.0798449
0,69,1,100,4.66929,0.074054
0,68,1,111,6.07383,0.0822455
0,67,0,200,11.1679,1.51339
0,66,1,85,3.81423,0.091307
0,65,1,95,4.96461,0.0783368
0,64,1,97,3.94903,0.0877275
0,63,0,200,9.63079,1.06786
0,62,0,200,9.86721,1.04558
0,61,0,200,11.6069,1.08908
0,60,0,200,10.9386,1.06394
0,59,0,200,9.80357,1.98334
0,58,0,200,10.1333,1.04865
0,57,0,200,10.6374,2.07317
0,56,0,200,10.0912,2.87966
0,55,1,99,5.16814,0.0741759
0,54,1,98,5.84422,0.0639274
0,53,1,97,4.86583,0.0760313
0,52,1,94,4.61538,0.0801097
0,51,0,200,10.1849,2.93214
0,50,0,200,10.0458,1.89417
0,49,1,114,6.20008,0.0912471
0,48,0,200,11.1149,1.53959
0,47,1,85,5.15162,0.0767575
0,46,0,200,10.0854,3.12085
0,45,0,200,9.33758,1.67169
0,44,1,92,3.98747,0.0617976
0,43,0,200,9.92311,1.13429
