s,map,is_success,iter,elapsed,f_err
0,299,0,200,4.46164,0.788164
0,298,0,200,4.48303,1.01356
0,297,1,115,2.63038,0.0759799
0,296,0,200,4.50453,1.57593
0,295,1,124,2.71464,0.0990281
0,294,1,99,2.28946,0.0608153
0,293,1,113,2.51964,0.0561123
0,292,1,111,2.59302,0.0329998
0,291,0,200,4.49936,1.52227
0,290,1,104,2.32737,0.093932
0,289,1,95,2.20644,0.0492058
0,288,0,200,4.43513,2.13436
0,287,0,25,0.63635,3.98275
0,286,0,200,4.42594,0.795036
0,285,0,200,4.53228,0.750461
0,284,0,200,4.50413,1.17307
0,283,0,200,4.50571,1.5535
0,282,0,200,4.49744,1.07625
0,281,1,118,2.66556,0.0120972
0,280,0,200,4.47282,0.98176
0,279,1,118,2.72767,0.0997013
0,278,0,200,4.50215,1.20963
0,277,1,116,2.57137,0.0805487
0,276,1,116,2.68515,0.0790652
0,275,1,128,2.85833,0.0894414
0,274,1,120,2.76144,0.0960549
0,273,0,200,4.52026,0.876491
0,272,0,200,4.53647,1.07575
0,271,0,200,4.49037,1.75098
0,270,1,97,2.14876,0.0917053
0,269,0,200,4.51834,1.30963
0,268,1,112,2.52973,0.0898568
0,267,1,115,2.63217,0.0924415
0,266,0,200,4.51537,1.05203
0,265,1,115,2.54444,0.0969859
0,264,1,118,2.71604,0.0864571
0,263,1,96,2.15703,0.0941655
0,262,1,91,2.10777,0.0974058
0,261,0,200,4.50358,1.51159
0,260,0,200,4.52414,0.981569
0,259,1,90,2.00907,0.0899557
0,258,1,89,1.99866,0.0878203
0,257,0,200,4.49794,1.29188
0,256,0,200,4.54065,0.809481
0,255,1,100,2.34498,0.0370091
0,254,1,132,2.96903,0.0966916
0,253,0,200,4.49201,1.47176
0,252,1,112,2.6206,0.0825596
0,251,1,98,2.15897,0.0756859
0,250,1,106,2.39093,0.0460401
0,249,0,200,4.42166,3.07146
0,248,1,104,2.38162,0.050875
0,247,0,200,4.51429,1.59104
0,246,1,103,2.25679,0.0745291
0,245,0,200,4.49943,1.03622
0,244,1,99,2.31859,0.071811
0,243,0,200,4.47541,1.32293
0,242,0,200,4.50055,1.75311
0,241,0,200,4.56236,2.38262
0,240,0,200,4.52623,1.21501
0,239,0,200,4.55574,2.19885
0,238,0,23,0.508626,4.02543
0,237,1,112,2.60027,0.0754976
0,236,0,200,4.49758,1.15832
0,235,0,200,4.35471,1.18485
0,234,0,200,4.53407,1.528
0,233,0,200,4.51957,1.17742
0,232,1,100,2.30709,0.0876664
0,231,1,125,2.80255,0.0895247
0,230,0,200,4.49906,1.39921
0,229,0,200,4.50704,0.757111
0,228,0,200,4.51609,1.53395
0,227,0,200,4.48573,1.21006
0,226,1,101,2.23288,0.0865806
0,225,0,200,4.48971,1.52392
0,224,0,200,4.49133,1.15359
0,223,1,101,2.28705,0.0994689
0,222,1,129,2.88135,0.0984828
0,221,1,105,2.43666,0.0713444
0,220,0,200,4.43679,0.682747
0,219,0,200,4.53127,0.777075
0,218,1,106,2.45605,0.0780563
0,217,1,87,1.93347,0.0850835
0,216,1,120,2.75942,0.0847708
0,215,0,200,4.45519,1.26821
0,214,0,200,4.477,3.13156
0,213,0,200,4.41227,1.03474
0,212,1,110,2.5502,0.0548031
0,211,1,138,3.10354,0.0652708
0,210,0,200,4.38105,0.74691
0,209,0,200,4.50743,1.51271
0,208,1,139,3.17436,0.0988185
0,207,0,200,4.53416,1.5521
0,206,1,103,2.32425,0.0841627
0,205,0,200,4.51244,1.61418
0,204,1,95,2.23267,0.0730283
0,203,1,105,2.33478,0.0904913
0,202,0,200,4.52108,1.46755
0,201,1,103,2.28018,0.0927755
0,200,0,200,4.51156,0.979343
0,199,1,122,2.8117,0.0988718
0,198,1,86,1.89248,0.0899177
0,197,1,100,2.33702,0.0811552
0,196,0,200,4.5046,0.976283
0,195,1,110,2.45065,0.0738149
0,194,0,200,4.52904,2.60109
0,193,0,200,4.50437,2.2706
0,192,1,124,2.79285,0.0490416
0,191,0,200,4.4801,0.746033
0,190,1,103,2.40011,0.0919387
0,189,0,200,4.48601,1.16985
0,188,0,200,4.51563,1.15814
0,187,0,200,4.45227,2.60862
