s,map,is_success,iter,elapsed,f_err
0,299,1,120,2.9255,0.08462
0,298,1,121,2.86787,0.0696679
0,297,0,22,0.539243,4.28462
0,296,1,97,2.39759,0.093574
0,295,1,100,2.3767,0.0837697
0,294,1,104,2.55558,0.0966556
0,293,1,106,2.54878,0.0670224
0,292,1,109,2.67843,0.0988215
0,291,1,106,2.49336,0.0850504
0,290,1,94,2.33192,0.0839897
0,289,1,108,2.56933,0.0796308
0,288,1,117,2.87908,0.0963786
0,287,0,88,2.11247,1.61371
0,286,1,113,2.77592,0.0859718
0,285,0,30,0.727184,3.91166
0,284,1,93,2.26809,0.0958545
0,283,1,104,2.5425,0.0822797
0,282,1,105,2.64674,0.076873
0,281,0,60,1.53703,2.38222
0,280,0,45,1.20097,3.40717
0,279,1,92,2.4858,0.0847753
0,278,1,96,2.42404,0.0847494
0,277,1,100,2.54412,0.0932812
0,276,1,112,2.88082,0.080433
0,275,1,114,2.8618,0.0981903
0,274,0,200,4.99605,0.844359
0,273,1,128,3.13566,0.0897265
0,272,1,93,2.35513,0.0914638
0,271,0,43,1.0414,3.1833
0,270,0,200,4.8425,0.607231
0,269,1,102,2.43059,0.0447206
0,268,1,114,2.80742,0.0753589
0,267,1,110,2.67643,0.0958068
0,266,1,84,2.07134,0.076373
0,265,0,29,0.72028,4.09686
0,264,1,92,2.24834,0.0814504
0,263,1,85,2.07549,0.095135
0,262,0,29,0.713321,4.02499
0,261,1,99,2.45262,0.0839375
0,260,1,113,2.71128,0.0971731
0,259,1,92,2.26242,0.0896537
0,258,1,110,2.64577,0.0801662
0,257,0,48,1.15904,3.2803
0,256,1,110,2.72621,0.054749
0,255,1,112,2.68969,0.0795414
0,254,1,100,2.45323,0.0776013
0,253,0,25,0.620575,4.20702
0,252,1,100,2.41513,0.024007
0,251,1,99,2.43953,0.0736123
0,250,1,132,3.24534,0.0921717
0,249,1,119,2.85114,0.0805239
0,248,0,37,0.902801,3.7663
0,247,1,98,2.46992,0.09671
0,246,1,100,2.38514,0.0645425
0,245,1,99,2.42634,0.0999176
0,244,1,109,2.60019,0.0115948
0,243,1,92,2.28021,0.0947848
0,242,1,91,2.20504,0.0955476
0,241,1,109,2.69588,0.0459306
0,240,1,85,2.05484,0.0688681
0,239,1,94,2.38073,0.0901024
0,238,0,23,0.569105,4.14468
0,237,1,99,2.34849,0.0740281
0,236,1,91,2.29294,0.0864753
0,235,0,38,0.927458,3.66751
0,234,1,115,2.76446,0.0891137
0,233,1,91,2.29439,0.0825673
0,232,1,123,2.95375,0.0945421
0,231,1,94,2.3379,0.0876164
0,230,1,104,2.5079,0.0897326
0,229,1,125,3.08292,0.0987224
0,228,0,65,1.58079,2.31729
0,227,0,29,0.708315,3.99348
0,226,1,93,2.31062,0.0738968
0,225,0,24,0.589343,4.19431
0,224,1,99,2.40995,0.0226651
0,223,1,98,2.38788,0.0952615
0,222,1,127,3.12257,0.0836847
0,221,1,91,2.16641,0.0945833
0,220,1,116,2.87274,0.0521107
0,219,1,105,2.52791,0.0835409
0,218,0,55,1.32682,2.45
0,217,1,87,2.18156,0.0980894
0,216,1,99,2.36877,0.0948975
0,215,1,114,2.82306,0.078803
