s,map,is_success,iter,elapsed,f_err
0,299,0,200,3.49547,0.636819
0,298,1,98,1.5212,0.0833965
0,297,1,113,2.1913,0.0639474
0,296,1,140,2.16451,0.0766022
0,295,1,106,1.59836,0.0915828
0,294,1,102,2.05863,0.0946314
0,293,1,108,1.58789,0.0888671
0,292,0,200,3.39942,0.597048
0,291,1,97,1.55093,0.0991632
0,290,1,110,1.76792,0.097975
0,289,1,107,2.12212,0.0936535
0,288,1,125,1.95279,0.079675
0,287,1,113,2.18031,0.0798108
0,286,1,86,1.31881,0.0612347
0,285,0,21,0.363559,4.18654
0,284,1,101,1.5711,0.0509425
0,283,1,100,2.01505,0.0697785
0,282,1,112,1.63489,0.0900165
0,281,1,134,2.59738,0.0769036
0,280,1,113,1.8032,0.0724907
0,279,1,103,1.61444,0.0951148
0,278,0,200,3.41449,0.43299
0,277,1,120,1.85848,0.087344
0,276,1,102,2.12631,0.0816469
0,275,1,104,1.62909,0.0995863
0,274,1,102,1.64532,0.0337967
0,273,0,200,3.31753,0.442748
0,272,0,200,3.56139,0.425116
0,271,0,39,0.648767,3.33648
0,270,1,100,1.56655,0.0719878
0,269,0,200,3.60499,0.37502
0,268,1,99,1.51319,0.0598762
0,267,1,105,2.09699,0.0855154
0,266,1,118,1.89343,0.0869731
0,265,0,69,1.04066,2.04586
0,264,0,200,3.45422,0.607511
0,263,1,96,1.45302,0.0887236
0,262,1,116,2.25919,0.0884619
0,261,0,200,3.07196,0.437691
0,260,1,92,1.81823,0.0872213
0,259,1,88,1.43172,0.0728984
0,258,1,89,1.42869,0.0841877
0,257,1,95,1.53977,0.0438388
0,256,0,200,3.40389,0.426978
0,255,1,90,1.34836,0.0576024
0,254,1,91,1.95438,0.0939197
0,253,1,100,1.57736,0.0916469
0,252,1,105,1.80354,0.0849285
0,251,0,200,3.78094,0.468243
0,250,1,103,2.09837,0.0965948
0,249,1,110,1.80032,0.0942407
0,248,1,117,1.82409,0.0717294
0,247,0,200,3.69458,0.47162
0,246,1,98,1.51825,0.089389
0,245,1,100,1.86908,0.0684405
0,244,1,91,1.38874,0.087719
0,243,0,200,3.54947,0.39824
0,242,0,200,2.94754,0.462117
0,241,0,200,3.46779,0.534712
0,240,1,83,1.27013,0.09539
0,239,1,93,1.99416,0.0528237
0,238,0,25,0.420994,3.883
0,237,0,200,3.11541,0.536614
0,236,0,200,3.79239,0.403553
0,235,1,133,2.45193,0.0785936
0,234,1,103,1.60281,0.0979057
0,233,1,117,1.83174,0.0779973
0,232,1,88,1.68134,0.0421773
0,231,1,84,1.36324,0.0671696
0,230,1,97,1.51073,0.0874616
0,229,1,104,1.9924,0.0847513
0,228,1,104,1.72391,0.0917571
0,227,1,114,1.7161,0.0630804
0,226,1,100,1.98827,0.0566216
0,225,0,200,3.00029,0.623103
0,224,1,139,2.59935,0.0608592
0,223,1,138,2.14329,0.0892636
0,222,1,116,2.24037,0.0733406
0,221,1,105,1.60137,0.0970223
0,220,1,97,1.5252,0.0850379
0,219,1,101,1.97352,0.0864572
0,218,0,200,3.13012,0.379075
0,217,1,101,2.04936,0.0948572
0,216,1,98,1.49704,0.097798
0,215,1,118,1.8319,0.071377
0,214,1,98,2.10801,0.0578361
0,213,0,19,0.335955,4.06882
0,212,1,95,1.55609,0.0612744
0,211,1,104,1.559,0.0686999
0,210,1,123,2.38559,0.0907496
0,209,1,109,1.9877,0.0756269
0,208,0,48,0.765193,2.99101
0,207,1,128,2.49912,0.0849187
0,206,1,119,1.81812,0.0830607
0,205,0,200,3.34301,0.450124
0,204,1,95,1.48631,0.0949932
0,203,1,120,2.35172,0.0441965
0,202,1,100,1.63525,0.0565208
0,201,0,200,3.7052,0.508807
0,200,1,103,1.59236,0.0935646
0,199,1,105,1.66565,0.0502627
0,198,1,88,1.85396,0.0785954
0,197,1,104,1.62961,0.0980503
0,196,1,100,1.5667,0.0843615
0,195,1,94,2.00807,0.065888
0,194,1,108,1.65242,0.0964273
0,193,1,109,1.85211,0.0929704
0,192,1,102,1.8814,0.0881757
0,191,1,117,1.92135,0.0573581
0,190,1,102,2.0558,0.0677993
0,189,1,96,1.53387,0.0699504
0,188,1,96,1.47223,0.0687633
0,187,0,200,3.46456,0.456782
0,186,0,53,0.822099,1.65501
0,185,1,96,1.41242,0.0782745
0,184,1,114,2.28787,0.0982757
0,183,1,123,1.92789,0.0846434
0,182,1,102,2.08846,0.0273225
0,181,1,122,1.79558,0.0888701
0,180,0,200,3.5515,0.497097
0,179,1,110,1.7345,0.0821046
0,178,1,95,1.51704,0.0837108
0,177,1,87,1.82793,0.0978179
0,176,1,107,1.66754,0.0602073
0,175,1,121,1.8326,0.0970865
0,174,1,105,2.07372,0.0896004
0,173,1,99,1.57413,0.0960712
0,172,1,121,2.29775,0.072404
0,171,0,200,3.02723,0.446178
0,170,1,94,1.68556,0.0244898
0,169,1,95,1.73768,0.0624058
0,168,1,90,1.36004,0.0673715
0,167,1,99,1.60638,0.0809199
0,166,1,110,2.16548,0.0568065
0,165,1,95,1.54529,0.0975164
0,164,1,91,1.90975,0.051817
0,163,1,103,1.65065,0.0511065
0,162,1,102,1.58961,0.0948891
0,161,1,103,2.15914,0.0753102
0,160,0,200,3.14054,0.47752
0,159,1,90,1.92679,0.0880221
0,158,1,90,1.35167,0.093277
0,157,1,99,1.56005,0.0817082
0,156,1,113,2.36499,0.0651968
0,155,1,125,1.96026,0.0736394
0,154,0,17,0.265625,4.30417
0,153,1,112,2.03419,0.0805267
0,152,1,91,1.66257,0.0721811
0,151,0,200,3.27375,0.738508
0,150,0,44,0.970863,2.89894
0,149,1,109,1.71574,0.091565
0,148,1,107,1.67946,0.0959089
0,147,1,105,2.21383,0.0957265
0,146,1,96,1.56033,0.0531147
0,145,1,96,1.55071,0.0951803
0,144,1,98,2.02848,0.0720981
0,143,1,102,1.62318,0.0487707
0,142,1,103,1.78915,0.0354102
0,141,1,101,1.87701,0.0964242
0,140,0,200,3.5094,0.815347
0,139,1,125,1.93531,0.0487658
0,138,0,200,3.71415,0.43763
0,137,0,200,2.99771,0.533678
0,136,1,116,2.26028,0.0845574
0,135,1,90,1.46432,0.0680539
0,134,1,108,1.64348,0.0916654
0,133,0,200,3.52555,0.322677
0,132,1,100,1.52847,0.0597007
0,131,0,200,3.51051,0.648252
0,130,1,96,1.54588,0.0891862
0,129,0,200,3.65766,0.552465
0,128,1,107,1.73483,0.0852555
0,127,0,200,3.4943,0.317784
0,126,1,116,2.27246,0.0847345
0,125,1,127,2.00905,0.0777878
0,124,1,109,1.7626,0.0927223
0,123,1,88,1.80354,0.0965635
0,122,1,91,1.44383,0.0945854
0,121,1,109,1.64904,0.0753103
0,120,1,106,1.89701,0.0598141
0,119,1,138,2.16993,0.0950666
0,118,1,99,1.44933,0.0913517
0,117,0,200,3.59294,0.277452
0,116,1,99,1.55321,0.0987782
0,115,0,200,3.55516,0.522089
0,114,1,98,1.56917,0.0310868
0,113,0,200,3.54156,0.52643
0,112,1,131,2.44165,0.0955827
0,111,1,114,1.79249,0.0724533
0,110,1,116,1.92815,0.0347276
0,109,1,106,2.12783,0.0925121
0,108,1,99,1.70335,0.0870933
0,107,1,104,1.60608,0.0985571
0,106,1,100,2.02446,0.0817814
0,105,1,98,1.56282,0.0981396
0,104,1,100,1.5645,0.088727
0,103,1,109,2.09929,0.0631919
0,102,1,95,1.444,0.0821071
0,101,1,88,1.40597,0.0288392
0,100,1,104,2.27439,0.092954
0,99,0,200,3.57589,0.530236
0,98,1,112,1.7441,0.0594544
0,97,1,88,1.47777,0.0883258
0,96,1,90,1.90079,0.0896535
0,95,1,105,1.65146,0.0978488
0,94,1,103,1.75059,0.0659519
0,93,1,101,2.13128,0.0319836
0,92,0,29,0.464447,3.69412
0,91,0,200,3.01711,0.522543
0,90,1,104,2.2201,0.0882696
0,89,1,106,1.78456,0.0732169
0,88,1,116,2.31487,0.071158
0,87,0,200,3.27956,0.559442
0,86,1,108,2.27118,0.0518979
0,85,0,35,0.549908,3.33842
0,84,1,93,1.45881,0.0400625
0,83,1,92,1.55673,0.0624637
0,82,1,88,1.83833,0.0693561
0,81,1,102,1.54452,0.0729242
0,80,1,104,1.6381,0.0834637
0,79,1,100,1.98014,0.09741
0,78,1,111,1.73867,0.0246747
0,77,0,57,0.896937,1.35737
0,76,0,200,3.50999,0.353762
0,75,1,94,1.55395,0.0960979
0,74,1,122,2.45135,0.0700559
0,73,1,103,1.6181,0.0893855
0,72,1,98,2.07255,0.0702948
0,71,1,94,1.54021,0.019472
0,70,0,200,3.6265,0.605622
0,69,1,128,2.03823,0.060297
0,68,1,88,1.40238,0.0975463
0,67,1,109,2.31061,0.0769033
0,66,1,99,1.62329,0.0598468
0,65,1,94,1.49137,0.0658683
0,64,0,200,3.49752,0.305612
0,63,1,95,1.54755,0.0925027
0,62,1,96,2.03467,0.0291124
0,61,1,105,1.77983,0.0711852
0,60,1,112,2.26059,0.0993712
0,59,0,200,3.16393,0.520019
0,58,1,135,2.49466,0.0849745
0,57,1,99,1.57317,0.0796931
